Opponent,Name,Rk,School,X,Type,GS,MP,FG,FGA,FG.,X2P,X2PA,X2P.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conf,SRS,DRE
wyoming,Seth Tuttle,34,Northern Iowa,N,NCAA,1,34,4,12,0.333,3,10,0.3,1,2,0.5,5,6,0.833,3,6,9,3,3,0,4,0,14,MWC,3.81,-0.724
arizona-state,Stanley Johnson,23,Arizona,@,REG,1,33,6,17,0.353,4,12,0.333,2,5,0.4,2,2,1,1,1,2,3,2,1,2,5,16,Pac-12,9.52,-1.453
arizona-state,Stanley Johnson,14,Arizona,,REG,0,25,5,8,0.625,4,7,0.571,1,1,1,2,2,1,2,5,7,2,1,0,3,4,13,Pac-12,9.52,1.6
cal-state-northridge,Stanley Johnson,2,Arizona,,REG,1,25,7,10,0.7,5,7,0.714,2,3,0.667,1,3,0.333,0,1,1,0,0,1,3,3,17,Big West,-6.61,0.085
california,Stanley Johnson,30,Arizona,,REG,1,25,5,12,0.417,4,9,0.444,1,3,0.333,1,2,0.5,1,4,5,1,1,1,1,4,12,Pac-12,5.35,-0.565
california,Stanley Johnson,20,Arizona,@,REG,1,30,5,10,0.5,5,10,0.5,0,0,NA,8,9,0.889,3,6,9,0,2,0,3,2,18,Pac-12,5.35,2.77
california,Stanley Johnson,32,Arizona,N,CTOURN,1,26,8,14,0.571,5,9,0.556,3,5,0.6,0,0,NA,1,6,7,0,1,0,3,4,19,Pac-12,5.35,1.764
california-irvine,Stanley Johnson,3,Arizona,,REG,1,27,3,8,0.375,3,5,0.6,0,3,0,4,4,1,3,7,10,3,1,0,5,3,10,Big West,3.64,-4.072
colorado,Stanley Johnson,28,Arizona,@,REG,1,26,6,11,0.545,6,9,0.667,0,2,0,3,3,1,1,1,2,1,2,0,2,2,15,Pac-12,7.01,2.014
colorado,Stanley Johnson,17,Arizona,,REG,1,32,7,15,0.467,7,12,0.583,0,3,0,8,9,0.889,5,3,8,3,2,0,1,0,22,Pac-12,7.01,6.098
gardner-webb,Stanley Johnson,7,Arizona,,REG,1,26,6,9,0.667,3,5,0.6,3,4,0.75,3,4,0.75,3,5,8,1,2,0,1,0,18,Big South,-5.22,9.064
gonzaga,Stanley Johnson,8,Arizona,,REG,1,35,3,7,0.429,2,3,0.667,1,4,0.25,4,6,0.667,1,5,6,2,2,0,4,2,11,WCC,21.11,-2.16
kansas-state,Stanley Johnson,5,Arizona,N,REG,1,25,3,8,0.375,2,6,0.333,1,2,0.5,7,8,0.875,2,5,7,0,1,0,1,4,14,Big 12,8.5,2.3
michigan,Stanley Johnson,10,Arizona,,REG,1,27,8,10,0.8,7,8,0.875,1,2,0.5,0,1,0,1,6,7,3,1,1,1,2,17,Big Ten,9.61,7.713
missouri,Stanley Johnson,4,Arizona,N,REG,1,29,4,8,0.5,3,6,0.5,1,2,0.5,5,8,0.625,2,2,4,2,3,1,1,3,14,SEC,1.19,6.091
mount-st-marys,Stanley Johnson,1,Arizona,,REG,1,24,2,8,0.25,2,4,0.5,0,4,0,4,6,0.667,0,6,6,1,0,0,2,3,8,NEC,-6.11,-5.664
nevada-las-vegas,Stanley Johnson,13,Arizona,@,REG,1,36,3,11,0.273,2,9,0.222,1,2,0.5,6,11,0.545,4,9,13,3,3,0,7,3,13,MWC,5.41,-6.246
oakland,Stanley Johnson,11,Arizona,,REG,1,23,7,14,0.5,6,11,0.545,1,3,0.333,3,6,0.5,2,3,5,3,0,0,2,4,18,Horizon,-1.25,-0.128
ohio-state,Stanley Johnson,36,Arizona,N,NCAA,1,31,1,12,0.083,1,8,0.125,0,4,0,2,2,1,5,5,10,1,2,0,2,3,4,Big Ten,19.73,-8.616
oregon,Stanley Johnson,34,Arizona,N,CTOURN,1,30,6,13,0.462,5,8,0.625,1,5,0.2,1,2,0.5,0,3,3,1,3,0,0,2,14,Pac-12,11.42,3.72
oregon,Stanley Johnson,21,Arizona,,REG,1,30,4,10,0.4,3,7,0.429,1,3,0.333,3,3,1,2,4,6,5,2,0,2,4,12,Pac-12,11.42,2.17
oregon,Stanley Johnson,15,Arizona,@,REG,1,33,3,7,0.429,3,5,0.6,0,2,0,8,10,0.8,2,5,7,3,1,0,2,4,14,Pac-12,11.42,1.512
oregon-state,Stanley Johnson,22,Arizona,,REG,1,32,3,10,0.3,3,8,0.375,0,2,0,2,2,1,0,9,9,2,0,0,1,1,8,Pac-12,5.93,-4.652
oregon-state,Stanley Johnson,16,Arizona,@,REG,1,26,2,4,0.5,1,2,0.5,1,2,0.5,2,3,0.667,0,3,3,0,0,0,1,4,7,Pac-12,5.93,-1.986
san-diego-state,Stanley Johnson,6,Arizona,N,REG,1,37,4,14,0.286,3,13,0.231,1,1,1,9,10,0.9,5,4,9,1,3,1,2,2,18,MWC,11.8,2.003
southern-california,Stanley Johnson,26,Arizona,,REG,1,25,6,12,0.5,5,8,0.625,1,4,0.25,0,0,NA,1,6,7,6,3,0,6,2,13,Pac-12,2.14,-0.1
stanford,Stanley Johnson,31,Arizona,,REG,1,26,3,6,0.5,1,2,0.5,2,4,0.5,1,2,0.5,0,3,3,1,2,1,1,4,9,Pac-12,12.2,2.999
stanford,Stanley Johnson,19,Arizona,@,REG,1,28,7,11,0.636,5,7,0.714,2,4,0.5,3,4,0.75,1,6,7,1,0,1,3,3,19,Pac-12,12.2,2.127
texas-el-paso,Stanley Johnson,12,Arizona,@,REG,1,34,4,10,0.4,1,6,0.167,3,4,0.75,6,9,0.667,3,3,6,0,4,0,4,2,17,CUSA,4.91,2.626
texas-southern,Stanley Johnson,35,Arizona,N,NCAA,1,29,8,11,0.727,4,6,0.667,4,5,0.8,2,2,1,0,5,5,2,2,1,2,1,22,SWAC,-5.95,10.591
ucla,Stanley Johnson,33,Arizona,N,CTOURN,1,35,4,12,0.333,1,6,0.167,3,6,0.5,4,6,0.667,3,6,9,3,1,2,1,0,15,Pac-12,12.08,2.01
ucla,Stanley Johnson,27,Arizona,,REG,1,32,1,9,0.111,1,6,0.167,0,3,0,5,7,0.714,4,6,10,1,0,0,3,2,7,Pac-12,12.08,-9.602
utah,Stanley Johnson,18,Arizona,,REG,1,28,6,12,0.5,5,10,0.5,1,2,0.5,5,7,0.714,4,5,9,1,2,0,1,2,18,Pac-12,20.96,5.242
utah,Stanley Johnson,29,Arizona,@,REG,1,29,3,19,0.158,2,15,0.133,1,4,0.25,5,7,0.714,8,3,11,0,2,1,1,2,12,Pac-12,20.96,-6.759
utah-valley,Stanley Johnson,9,Arizona,,REG,1,21,5,7,0.714,4,4,1,1,3,0.333,3,7,0.429,2,5,7,3,3,1,3,2,14,WAC,-12.73,6.729
washington,Stanley Johnson,24,Arizona,@,REG,1,27,7,10,0.7,6,8,0.75,1,2,0.5,5,5,1,1,7,8,2,0,2,0,2,20,Pac-12,5.56,9.248
washington-state,Stanley Johnson,25,Arizona,@,REG,1,17,3,7,0.429,3,5,0.6,0,2,0,1,2,0.5,1,2,3,1,1,0,1,3,7,Pac-12,0.13,-0.912
wisconsin,Stanley Johnson,38,Arizona,N,NCAA,1,25,2,4,0.5,2,3,0.667,0,1,0,2,2,1,0,2,2,0,1,0,3,5,6,Big Ten,24.47,-3.8
xavier,Stanley Johnson,37,Arizona,N,NCAA,1,32,4,10,0.4,2,5,0.4,2,5,0.4,2,2,1,1,5,6,1,1,0,1,2,12,Big East,15.44,-0.052
arizona-state,T.J. McConnell,14,Arizona,,REG,1,26,3,6,0.5,2,4,0.5,1,2,0.5,0,0,NA,0,1,1,3,1,0,3,3,7,Pac-12,9.52,-2.736
arizona-state,T.J. McConnell,23,Arizona,@,REG,1,34,11,19,0.579,8,15,0.533,3,4,0.75,0,0,NA,4,1,5,4,1,0,4,4,25,Pac-12,9.52,2.376
cal-state-northridge,T.J. McConnell,2,Arizona,,REG,1,23,2,7,0.286,1,4,0.25,1,3,0.333,2,2,1,1,4,5,8,2,0,3,4,7,Big West,-6.61,1.072
california,T.J. McConnell,30,Arizona,,REG,1,25,4,5,0.8,4,5,0.8,0,0,NA,0,0,NA,0,4,4,11,2,0,0,2,8,Pac-12,5.35,9.8
california,T.J. McConnell,20,Arizona,@,REG,1,29,3,6,0.5,3,6,0.5,0,0,NA,0,0,NA,0,0,0,6,0,0,2,0,6,Pac-12,5.35,-3.144
california,T.J. McConnell,32,Arizona,N,CTOURN,1,29,4,8,0.5,3,5,0.6,1,3,0.333,4,4,1,0,3,3,6,3,0,2,1,13,Pac-12,5.35,6.356
california-irvine,T.J. McConnell,3,Arizona,,REG,1,36,4,11,0.364,2,7,0.286,2,4,0.5,2,2,1,1,8,9,4,6,0,0,1,12,Big West,3.64,10.504
colorado,T.J. McConnell,28,Arizona,@,REG,1,26,3,6,0.5,3,6,0.5,0,0,NA,0,0,NA,1,2,3,6,2,0,2,1,6,Pac-12,7.01,1.264
colorado,T.J. McConnell,17,Arizona,,REG,1,33,3,9,0.333,1,6,0.167,2,3,0.667,0,0,NA,0,7,7,6,0,0,2,1,8,Pac-12,7.01,-2.988
gardner-webb,T.J. McConnell,7,Arizona,,REG,1,28,2,6,0.333,1,4,0.25,1,2,0.5,0,0,NA,0,3,3,8,1,0,0,1,5,Big South,-5.22,2.092
gonzaga,T.J. McConnell,8,Arizona,,REG,1,31,4,10,0.4,3,6,0.5,1,4,0.25,3,7,0.429,0,3,3,2,3,0,3,4,12,WCC,21.11,-1.166
kansas-state,T.J. McConnell,5,Arizona,N,REG,1,33,3,5,0.6,2,4,0.5,1,1,1,0,1,0,0,4,4,6,2,0,3,3,7,Big 12,8.5,0.662
michigan,T.J. McConnell,10,Arizona,,REG,1,23,0,3,0,0,1,0,0,2,0,0,0,NA,1,5,6,7,0,0,3,1,0,Big Ten,9.61,-5.328
missouri,T.J. McConnell,4,Arizona,N,REG,1,30,2,11,0.182,2,6,0.333,0,5,0,2,2,1,0,3,3,9,3,0,2,2,6,SEC,1.19,-1.28
mount-st-marys,T.J. McConnell,1,Arizona,,REG,1,28,3,10,0.3,3,8,0.375,0,2,0,0,0,NA,0,5,5,7,4,0,1,1,6,NEC,-6.11,3.092
nevada-las-vegas,T.J. McConnell,13,Arizona,@,REG,1,39,6,10,0.6,6,8,0.75,0,2,0,2,2,1,1,3,4,7,3,0,1,3,14,MWC,5.41,6.996
oakland,T.J. McConnell,11,Arizona,,REG,1,26,2,3,0.667,2,3,0.667,0,0,NA,0,0,NA,0,5,5,10,3,1,0,1,4,Horizon,-1.25,9.399
ohio-state,T.J. McConnell,36,Arizona,N,NCAA,1,39,8,13,0.615,7,10,0.7,1,3,0.333,2,2,1,3,3,6,6,5,0,1,1,19,Big Ten,19.73,12.596
oregon,T.J. McConnell,34,Arizona,N,CTOURN,1,33,5,8,0.625,3,6,0.5,2,2,1,0,0,NA,2,1,3,6,0,0,0,0,12,Pac-12,11.42,3.912
oregon,T.J. McConnell,21,Arizona,,REG,1,28,5,5,1,5,5,1,0,0,NA,0,0,NA,0,1,1,5,1,0,0,1,10,Pac-12,11.42,6.092
oregon,T.J. McConnell,15,Arizona,@,REG,1,34,9,14,0.643,8,13,0.615,1,1,1,2,2,1,1,4,5,3,1,0,1,2,21,Pac-12,11.42,5.876
oregon-state,T.J. McConnell,16,Arizona,@,REG,1,35,6,12,0.5,6,9,0.667,0,3,0,1,2,0.5,1,5,6,6,2,0,2,2,13,Pac-12,5.93,1.54
oregon-state,T.J. McConnell,22,Arizona,,REG,1,30,3,9,0.333,2,7,0.286,1,2,0.5,0,0,NA,0,4,4,6,8,1,1,2,7,Pac-12,5.93,11.355
san-diego-state,T.J. McConnell,6,Arizona,N,REG,1,32,4,6,0.667,3,5,0.6,1,1,1,2,3,0.667,0,3,3,3,0,0,3,3,11,MWC,11.8,-1.902
southern-california,T.J. McConnell,26,Arizona,,REG,1,19,3,4,0.75,2,2,1,1,2,0.5,3,3,1,0,1,1,7,1,0,3,1,10,Pac-12,2.14,3.966
stanford,T.J. McConnell,19,Arizona,@,REG,1,31,4,7,0.571,4,6,0.667,0,1,0,2,2,1,0,0,0,5,1,0,2,2,10,Pac-12,12.2,0.184
stanford,T.J. McConnell,31,Arizona,,REG,1,25,2,7,0.286,2,5,0.4,0,2,0,6,6,1,0,2,2,11,3,0,2,3,10,Pac-12,12.2,6.4
texas-el-paso,T.J. McConnell,12,Arizona,@,REG,1,35,4,8,0.5,4,7,0.571,0,1,0,1,2,0.5,2,5,7,8,3,0,3,1,9,CUSA,4.91,2.64
texas-southern,T.J. McConnell,35,Arizona,N,NCAA,1,27,5,8,0.625,5,7,0.714,0,1,0,2,2,1,0,4,4,4,4,0,3,2,12,SWAC,-5.95,5.828
ucla,T.J. McConnell,27,Arizona,,REG,1,36,3,8,0.375,3,6,0.5,0,2,0,5,6,0.833,2,0,2,5,1,0,1,2,11,Pac-12,12.08,0.004
ucla,T.J. McConnell,33,Arizona,N,CTOURN,1,37,3,9,0.333,1,4,0.25,2,5,0.4,2,2,1,2,4,6,11,3,0,5,2,10,Pac-12,12.08,0.968
utah,T.J. McConnell,29,Arizona,@,REG,1,37,2,6,0.333,2,5,0.4,0,1,0,3,4,0.75,2,3,5,5,0,0,3,3,7,Pac-12,20.96,-5.532
utah,T.J. McConnell,18,Arizona,,REG,1,32,8,10,0.8,8,9,0.889,0,1,0,0,2,0,0,3,3,6,1,0,2,1,16,Pac-12,20.96,4.448
utah-valley,T.J. McConnell,9,Arizona,,REG,1,15,3,4,0.75,3,3,1,0,1,0,0,0,NA,0,1,1,3,3,0,2,3,6,WAC,-12.73,4.36
washington,T.J. McConnell,24,Arizona,@,REG,1,31,4,7,0.571,4,6,0.667,0,1,0,2,2,1,0,5,5,10,3,0,3,1,10,Pac-12,5.56,5.684
washington-state,T.J. McConnell,25,Arizona,@,REG,1,29,6,11,0.545,4,8,0.5,2,3,0.667,0,0,NA,0,5,5,8,4,0,3,1,14,Pac-12,0.13,7.756
wisconsin,T.J. McConnell,38,Arizona,N,NCAA,1,38,4,8,0.5,4,6,0.667,0,2,0,6,6,1,0,0,0,5,2,0,3,1,14,Big Ten,24.47,1.232
xavier,T.J. McConnell,37,Arizona,N,NCAA,1,36,6,14,0.429,5,8,0.625,1,6,0.167,4,4,1,1,6,7,5,1,1,4,1,17,Big East,15.44,-1.361
alabama,Trey Lyles,17,Kentucky,@,REG,1,26,3,5,0.6,3,5,0.6,0,0,NA,2,2,1,1,4,5,0,0,0,0,1,8,SEC,10.57,0.264
arkansas,Trey Lyles,26,Kentucky,,REG,1,31,8,10,0.8,8,10,0.8,0,0,NA,2,2,1,2,2,4,1,0,1,1,3,18,SEC,14.12,4.519
arkansas,Trey Lyles,31,Kentucky,N,CTOURN,1,29,2,4,0.5,2,4,0.5,0,0,NA,5,5,1,3,4,7,0,1,0,2,1,9,SEC,14.12,0.006
auburn,Trey Lyles,24,Kentucky,,REG,1,24,4,6,0.667,4,5,0.8,0,1,0,1,1,1,0,4,4,2,0,0,2,2,9,SEC,3.33,-1.014
auburn,Trey Lyles,30,Kentucky,N,CTOURN,1,25,4,7,0.571,4,7,0.571,0,0,NA,4,4,1,0,4,4,0,0,1,1,2,12,SEC,3.33,0.835
boston-university,Trey Lyles,4,Kentucky,,REG,0,13,4,6,0.667,4,5,0.8,0,1,0,0,0,NA,0,2,2,2,1,1,0,3,8,Patriot,-5.59,4.467
buffalo,Trey Lyles,2,Kentucky,,REG,0,20,4,5,0.8,3,3,1,1,2,0.5,3,4,0.75,1,3,4,3,1,0,3,3,12,MAC,7.95,3.18
cincinnati,Trey Lyles,33,Kentucky,N,NCAA,1,28,3,9,0.333,3,9,0.333,0,0,NA,5,8,0.625,5,6,11,1,1,2,1,0,11,AAC,10.74,0.362
columbia,Trey Lyles,10,Kentucky,,REG,0,30,3,8,0.375,3,7,0.429,0,1,0,1,2,0.5,4,6,10,2,0,2,0,0,7,Ivy,-0.33,-0.91
eastern-kentucky,Trey Lyles,9,Kentucky,,REG,0,22,4,8,0.5,4,6,0.667,0,2,0,2,2,1,1,9,10,1,1,0,2,1,10,OVC,0.03,0.508
florida,Trey Lyles,29,Kentucky,N,CTOURN,1,25,1,8,0.125,1,8,0.125,0,0,NA,5,6,0.833,3,3,6,0,0,0,1,1,7,SEC,13.33,-5.9
florida,Trey Lyles,28,Kentucky,,REG,0,24,7,12,0.583,7,12,0.583,0,0,NA,0,0,NA,2,4,6,0,1,0,1,1,14,SEC,13.33,1.436
georgia,Trey Lyles,27,Kentucky,@,REG,1,22,1,5,0.2,1,5,0.2,0,0,NA,0,0,NA,0,4,4,0,1,0,0,2,2,SEC,12.48,-2.992
grand-canyon,Trey Lyles,1,Kentucky,,REG,0,17,6,10,0.6,5,6,0.833,1,4,0.25,1,1,1,1,3,4,0,0,0,1,1,14,WAC,-6.6,1.738
hampton,Trey Lyles,32,Kentucky,N,NCAA,1,25,5,10,0.5,5,9,0.556,0,1,0,0,1,0,1,5,6,2,1,0,0,1,10,MEAC,-8.21,1.15
kansas,Trey Lyles,3,Kentucky,N,REG,0,19,1,5,0.2,1,3,0.333,0,2,0,2,2,1,1,3,4,0,1,0,0,1,4,Big 12,18.51,-1.284
louisiana-state,Trey Lyles,21,Kentucky,@,REG,0,18,2,3,0.667,2,3,0.667,0,0,NA,0,0,NA,0,3,3,0,0,0,1,1,4,SEC,11.43,-1.948
louisville,Trey Lyles,13,Kentucky,@,REG,1,30,3,6,0.5,3,6,0.5,0,0,NA,0,0,NA,3,6,9,4,1,0,2,3,6,ACC,18.14,-0.78
mississippi,Trey Lyles,14,Kentucky,,REG,1,28,3,8,0.375,3,8,0.375,0,0,NA,4,6,0.667,2,2,4,2,1,2,2,2,10,SEC,11.43,-1.338
mississippi-state,Trey Lyles,25,Kentucky,@,REG,1,21,7,12,0.583,7,12,0.583,0,0,NA,4,4,1,2,4,6,2,1,0,0,1,18,SEC,2.58,6.844
missouri,Trey Lyles,16,Kentucky,,REG,0,18,3,8,0.375,3,7,0.429,0,1,0,0,0,NA,2,3,5,0,1,0,0,0,6,SEC,1.19,-0.948
missouri,Trey Lyles,20,Kentucky,@,REG,0,21,1,5,0.2,1,5,0.2,0,0,NA,3,4,0.75,3,2,5,1,0,0,0,2,5,SEC,1.19,-2.256
montana-state,Trey Lyles,5,Kentucky,,REG,0,17,1,9,0.111,1,4,0.25,0,5,0,6,6,1,1,5,6,4,0,1,0,0,8,Big Sky,-12.93,-0.777
north-carolina,Trey Lyles,11,Kentucky,,REG,1,23,4,6,0.667,4,5,0.8,0,1,0,1,2,0.5,2,1,3,1,1,0,1,2,9,ACC,20.62,1.172
notre-dame,Trey Lyles,35,Kentucky,N,NCAA,1,25,4,10,0.4,4,10,0.4,0,0,NA,1,2,0.5,3,2,5,0,1,2,5,2,9,ACC,19.23,-7.33
providence,Trey Lyles,7,Kentucky,,REG,0,18,0,3,0,0,3,0,0,0,NA,0,0,NA,2,3,5,1,1,0,1,1,0,Big East,13.75,-3.348
south-carolina,Trey Lyles,19,Kentucky,@,REG,1,22,2,3,0.667,2,3,0.667,0,0,NA,3,4,0.75,1,1,2,1,1,0,3,1,7,SEC,10.61,-1.692
south-carolina,Trey Lyles,22,Kentucky,,REG,1,21,3,5,0.6,3,3,1,0,2,0,2,2,1,3,1,4,0,0,0,0,2,8,SEC,10.61,0.744
tennessee,Trey Lyles,23,Kentucky,@,REG,1,18,4,7,0.571,4,6,0.667,0,1,0,2,4,0.5,4,1,5,0,0,0,0,2,10,SEC,7.28,0.852
texas,Trey Lyles,8,Kentucky,,REG,0,13,2,2,1,2,2,1,0,0,NA,0,3,0,3,2,5,0,0,0,1,4,4,Big 12,16.19,-1.018
texas-am,Trey Lyles,15,Kentucky,@,REG,1,35,2,4,0.5,1,2,0.5,1,2,0.5,2,4,0.5,3,3,6,2,0,3,1,2,7,SEC,10.77,-0.355
texas-arlington,Trey Lyles,6,Kentucky,,REG,0,21,4,6,0.667,3,4,0.75,1,2,0.5,1,3,0.333,1,8,9,1,0,0,5,3,10,Sun Belt,-3.58,-4.006
ucla,Trey Lyles,12,Kentucky,N,REG,1,21,3,6,0.5,3,5,0.6,0,1,0,3,4,0.75,3,1,4,2,1,0,1,1,9,Pac-12,12.08,1.444
vanderbilt,Trey Lyles,18,Kentucky,,REG,0,20,2,5,0.4,2,5,0.4,0,0,NA,1,4,0.25,0,3,3,1,0,0,2,3,5,SEC,11.94,-5.32
west-virginia,Trey Lyles,34,Kentucky,N,NCAA,1,29,4,7,0.571,4,7,0.571,0,0,NA,6,7,0.857,2,5,7,2,1,1,0,0,14,Big 12,15.15,5.941
wisconsin,Trey Lyles,36,Kentucky,N,NCAA,1,29,3,7,0.429,3,7,0.429,0,0,NA,3,3,1,0,1,1,0,0,0,1,2,9,Big Ten,24.47,-3.494
army,Tyus Jones,7,Duke,,REG,1,34,4,8,0.5,3,4,0.75,1,4,0.25,7,8,0.875,1,4,5,10,1,0,0,1,16,Patriot,-6.48,9.076
boston-college,Tyus Jones,13,Duke,,REG,1,27,0,5,0,0,4,0,0,1,0,3,4,0.75,0,4,4,3,0,0,2,0,3,ACC,6.31,-7.072
clemson,Tyus Jones,27,Duke,,REG,1,39,4,11,0.364,3,8,0.375,1,3,0.333,2,2,1,0,2,2,9,4,0,3,2,11,ACC,7.73,2.596
connecticut,Tyus Jones,10,Duke,N,REG,1,38,5,11,0.455,3,5,0.6,2,6,0.333,9,10,0.9,2,4,6,3,2,0,3,1,21,AAC,8.28,4.332
elon,Tyus Jones,9,Duke,,REG,1,23,0,1,0,0,1,0,0,0,NA,4,6,0.667,1,0,1,4,2,0,4,3,4,CAA,-5.9,-2.128
fairfield,Tyus Jones,2,Duke,,REG,1,23,2,5,0.4,2,2,1,0,3,0,2,3,0.667,1,2,3,5,2,0,2,0,6,MAAC,-8.62,1.022
florida-state,Tyus Jones,24,Duke,@,REG,1,39,6,13,0.462,4,9,0.444,2,4,0.5,2,2,1,1,5,6,12,1,0,1,2,16,ACC,6.69,5.796
furman,Tyus Jones,6,Duke,,REG,1,23,0,2,0,0,1,0,0,1,0,0,0,NA,0,2,2,7,1,0,2,0,0,Southern,-10.56,-2.128
georgia-tech,Tyus Jones,22,Duke,,REG,1,38,3,10,0.3,1,6,0.167,2,4,0.5,1,2,0.5,0,2,2,5,3,0,4,2,9,ACC,7.16,-3.468
gonzaga,Tyus Jones,37,Duke,N,NCAA,1,40,5,13,0.385,4,10,0.4,1,3,0.333,4,4,1,1,2,3,6,2,0,0,2,15,WCC,21.11,3.46
louisville,Tyus Jones,17,Duke,@,REG,1,32,2,5,0.4,2,3,0.667,0,2,0,6,6,1,0,1,1,8,1,0,2,1,10,ACC,18.14,2.148
miami-fl,Tyus Jones,16,Duke,,REG,1,27,2,9,0.222,2,6,0.333,0,3,0,2,2,1,1,1,2,2,0,0,2,3,6,ACC,12.07,-7.872
michigan-state,Tyus Jones,38,Duke,N,NCAA,1,38,3,8,0.375,2,5,0.4,1,3,0.333,2,3,0.667,0,2,2,4,2,1,1,2,9,Big Ten,17.8,0.517
michigan-state,Tyus Jones,3,Duke,N,REG,1,31,4,5,0.8,2,2,1,2,3,0.667,7,7,1,0,0,0,4,2,0,0,0,17,Big Ten,17.8,11.234
north-carolina,Tyus Jones,31,Duke,@,REG,1,37,5,10,0.5,3,6,0.5,2,4,0.5,12,12,1,0,6,6,7,3,0,1,1,24,ACC,20.62,14.168
north-carolina,Tyus Jones,26,Duke,,REG,1,43,7,16,0.438,5,11,0.455,2,5,0.4,6,7,0.857,1,6,7,8,1,0,6,2,22,ACC,20.62,-1.998
north-carolina-state,Tyus Jones,15,Duke,@,REG,1,27,1,6,0.167,1,3,0.333,0,3,0,2,2,1,1,1,2,4,1,0,2,1,4,ACC,14.09,-4.472
north-carolina-state,Tyus Jones,32,Duke,N,CTOURN,1,37,3,9,0.333,3,7,0.429,0,2,0,1,1,1,0,0,0,8,1,0,1,0,7,ACC,14.09,-2.182
notre-dame,Tyus Jones,33,Duke,N,CTOURN,1,40,4,13,0.308,3,8,0.375,1,5,0.2,1,1,1,0,4,4,5,1,0,4,3,10,ACC,19.23,-8.09
notre-dame,Tyus Jones,23,Duke,,REG,1,34,3,4,0.75,1,1,1,2,3,0.667,4,6,0.667,0,5,5,7,1,0,0,1,12,ACC,19.23,7.876
notre-dame,Tyus Jones,20,Duke,@,REG,1,38,5,11,0.455,4,8,0.5,1,3,0.333,3,3,1,1,2,3,2,2,0,0,2,14,ACC,19.23,2.882
pittsburgh,Tyus Jones,18,Duke,,REG,1,38,7,11,0.636,3,5,0.6,4,6,0.667,4,5,0.8,1,1,2,4,0,0,3,1,22,ACC,8.45,3.382
presbyterian,Tyus Jones,1,Duke,,REG,1,23,6,8,0.75,3,4,0.75,3,4,0.75,0,0,NA,0,2,2,7,0,0,1,0,15,Big South,-16.25,7.172
robert-morris,Tyus Jones,34,Duke,N,NCAA,1,31,4,7,0.571,2,2,1,2,5,0.4,0,0,NA,0,3,3,7,2,0,1,0,10,NEC,-3.01,5.584
san-diego-state,Tyus Jones,35,Duke,N,NCAA,1,36,3,9,0.333,3,8,0.375,0,1,0,0,0,NA,0,3,3,6,2,0,2,0,6,MWC,11.8,-2.796
st-johns-ny,Tyus Jones,19,Duke,@,REG,1,39,5,11,0.455,3,6,0.5,2,5,0.4,10,10,1,0,4,4,6,1,0,4,0,22,Big East,11.86,3.196
stanford,Tyus Jones,5,Duke,N,REG,1,26,0,6,0,0,3,0,0,3,0,3,4,0.75,0,3,3,2,3,0,1,2,3,Pac-12,12.2,-2.036
syracuse,Tyus Jones,29,Duke,,REG,1,38,3,7,0.429,2,3,0.667,1,4,0.25,2,2,1,1,5,6,6,2,1,6,1,9,ACC,11.89,-3.433
syracuse,Tyus Jones,25,Duke,@,REG,1,35,3,8,0.375,2,7,0.286,1,1,1,4,4,1,1,5,6,6,0,0,3,1,11,ACC,11.89,-2.36
temple,Tyus Jones,4,Duke,N,REG,1,29,1,7,0.143,0,3,0,1,4,0.25,2,2,1,1,4,5,7,3,0,1,1,5,AAC,8.18,2.256
toledo,Tyus Jones,11,Duke,,REG,1,34,2,3,0.667,0,0,NA,2,3,0.667,9,9,1,1,3,4,8,2,0,1,0,15,MAC,4.86,11.326
utah,Tyus Jones,36,Duke,N,NCAA,1,38,3,9,0.333,3,7,0.429,0,2,0,9,10,0.9,0,3,3,3,2,0,3,3,15,Pac-12,20.96,-0.468
virginia,Tyus Jones,21,Duke,@,REG,1,38,5,10,0.5,3,5,0.6,2,5,0.4,5,6,0.833,1,3,4,4,0,0,1,1,17,ACC,21.73,2.132
virginia-tech,Tyus Jones,28,Duke,@,REG,1,45,3,10,0.3,2,5,0.4,1,5,0.2,0,0,NA,0,2,2,9,1,0,3,1,7,ACC,1.29,-5.72
wake-forest,Tyus Jones,14,Duke,@,REG,1,26,3,7,0.429,2,6,0.333,1,1,1,1,1,1,2,1,3,4,1,1,1,0,8,ACC,4.6,1.249
wake-forest,Tyus Jones,30,Duke,,REG,1,32,3,8,0.375,1,6,0.167,2,2,1,2,3,0.667,0,4,4,5,3,0,1,0,10,ACC,4.6,4.398
wisconsin,Tyus Jones,8,Duke,@,REG,1,37,7,11,0.636,5,8,0.625,2,3,0.667,6,8,0.75,0,6,6,4,0,0,1,2,22,Big Ten,24.47,6.068
wisconsin,Tyus Jones,39,Duke,N,NCAA,1,37,7,13,0.538,5,10,0.5,2,3,0.667,7,7,1,0,5,5,1,0,0,1,1,23,Big Ten,24.47,3.918
wofford,Tyus Jones,12,Duke,,REG,1,32,2,4,0.5,1,2,0.5,1,2,0.5,0,0,NA,0,6,6,5,4,0,2,3,5,Southern,2.56,4.748
