Opponent,Name,Rk,School,X,Type,GS,MP,FG,FGA,FG.,X2P,X2PA,X2P.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conf,SRS,DRE
stanford,Rondae Hollis-Jefferson,31,Arizona,,REG,1,29,5,9,0.556,5,9,0.556,0,0,NA,4,5,0.8,2,5,7,0,0,0,0,2,14,Pac-12,12.2,1.606
texas-el-paso,Rondae Hollis-Jefferson,12,Arizona,@,REG,0,25,2,7,0.286,2,6,0.333,0,1,0,2,5,0.4,1,4,5,2,2,1,0,4,6,CUSA,4.91,0.485
texas-southern,Rondae Hollis-Jefferson,35,Arizona,N,NCAA,1,24,7,9,0.778,7,8,0.875,0,1,0,9,10,0.9,4,6,10,1,0,0,1,4,23,SWAC,-5.95,9.236
ucla,Rondae Hollis-Jefferson,33,Arizona,N,CTOURN,1,36,2,10,0.2,2,9,0.222,0,1,0,4,6,0.667,5,7,12,2,2,2,2,0,8,Pac-12,12.08,-2.926
ucla,Rondae Hollis-Jefferson,27,Arizona,,REG,1,28,1,6,0.167,1,5,0.2,0,1,0,0,0,NA,1,4,5,1,1,1,3,3,2,Pac-12,12.08,-7.673
utah,Rondae Hollis-Jefferson,18,Arizona,,REG,1,31,1,6,0.167,1,6,0.167,0,0,NA,6,8,0.75,4,3,7,1,0,2,3,4,8,Pac-12,20.96,-5.646
utah,Rondae Hollis-Jefferson,29,Arizona,@,REG,1,29,2,6,0.333,2,6,0.333,0,0,NA,6,8,0.75,1,7,8,1,0,0,0,3,10,Pac-12,20.96,-0.044
utah-valley,Rondae Hollis-Jefferson,9,Arizona,,REG,0,21,4,6,0.667,4,5,0.8,0,1,0,4,7,0.571,2,8,10,1,0,0,4,2,12,WAC,-12.73,-1.806
washington,Rondae Hollis-Jefferson,24,Arizona,@,REG,1,32,7,10,0.7,7,10,0.7,0,0,NA,3,4,0.75,3,6,9,2,2,1,3,2,17,Pac-12,5.56,4.783
washington-state,Rondae Hollis-Jefferson,25,Arizona,@,REG,1,32,8,9,0.889,8,9,0.889,0,0,NA,1,6,0.167,2,8,10,1,1,1,3,3,17,Pac-12,0.13,2.983
wisconsin,Rondae Hollis-Jefferson,38,Arizona,N,NCAA,1,37,6,12,0.5,6,12,0.5,0,0,NA,5,6,0.833,1,7,8,0,0,0,0,5,17,Big Ten,24.47,0.668
xavier,Rondae Hollis-Jefferson,37,Arizona,N,NCAA,1,30,1,4,0.25,1,3,0.333,0,1,0,3,4,0.75,0,2,2,1,3,0,0,3,5,Big East,15.44,1.92
