"Name","Pos","Coach","MP.nba","EXP","Age","SOS","X2PA.nba","X3PA.nba","FTA.nba","TRB.nba","AST.nba","STL.nba","BLK.nba","TOV.nba","PF.nba","PTS.nba","X2PER.nba","X3PER.nba","FTR.nba","ATO.nba","X2PA","X3PA","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","X2PER","X3PER","FTR","ATO"
"A.J. Guyton",1,"Bob Knight",1246,4,21.8821917808219,10.22,-0.848814037500096,1.79913850476316,-1.56065225790799,-1.45844467985883,0.719612135777725,-1.36620314685402,-0.564999006992543,-0.629680334247341,-1.69178824766732,-0.106376545384236,-1.50597444558295,0.885509807703514,-1.58822462843578,1.60357741510966,-0.241552243963757,1.04304335655984,-1.01495712798762,-1.44923514533927,-0.301760831437785,-0.68961242621928,-0.585413624487014,-0.605385809499217,-2.30445885193796,0.299543227945166,-0.705729628732702,0.88942920035781,-1.251449504242,-0.0859906373832826
"A.J. Price",1,"Jim Calhoun",2228,3,22.2328767123288,8.57,-0.877299038470871,2.33991546242933,-0.292659220793112,-0.980241800217954,1.05563783830137,0.428818722829793,-0.911103202747898,0.189696342652029,-1.18881372705609,0.454069067933723,-0.374703657912401,-0.411746236376449,-0.679860649798677,1.2144067673882,-1.0678310345414,1.28490023525475,-0.87096630040501,-1.1539714686236,1.36488303786791,-1.10009850141087,-0.960277048522106,0.459832876640308,-1.74926399749253,-0.474212936312168,-2.08441002115337,0.538702068172225,-0.889432711988181,1.18040223851651
"Aaron Brooks",1,"Ernie Kent",5525,4,21.9616438356164,6.3,-0.108432932621321,2.08773368099796,-0.0828362190205711,-1.27719665597086,1.08135707968592,-0.776220848140377,-0.801658031609731,0.627529539103875,-0.872110771003912,1.47474110632723,-0.162599808083404,0.91176199437971,-0.704579642366742,0.906049220870765,-0.806900890148457,0.946300605081874,-1.01495712798762,-1.04852015551087,0.785180822457234,-0.0738833134318882,-0.799621295364209,-0.314871622370256,-0.321620086061439,-0.144954994075005,-0.466344608826863,0.644696768232939,-1.00038705903429,1.08632733916395
"Aaron Gray",5,"Jamie Dixon",1639,4,22.0657534246575,8.53,0.19756628843444,-1.01083387116914,0.41675900248895,1.78361225497734,-0.240294291421665,-0.471265034412934,0.32422680290658,0.494511248231913,2.20645894121316,-0.235362181645069,0.821675138209074,NA,0.689448341479857,-0.472294877044777,1.30228444369446,-1.20622561530281,0.388953440942827,1.86193608640068,-0.301760831437785,-1.40796305780457,1.02114390709195,-0.9927380590045,0.868083173464472,0.1678400510503,0.620816391713252,NA,0.157503884816985,0.124526619909151
"Aaron McKie",2.33333333333333,"John Chaney",6524,3,21.2465753424658,8.34,-0.588801996855251,-0.161492436805835,-0.771717829056318,-0.481888915316414,0.320328310907524,1.19172421793804,-0.494890614397354,-0.499880206773236,-0.445518474157154,-0.761268938948666,-0.108124763712458,-0.0562755136704466,-0.476625990888072,0.847955520348664,0.323796402220943,0.84955785360391,-0.00702133490934997,0.0481735008616011,0.241709995509724,0.849710355749199,-0.692517459925612,-1.4769283708861,-1.19406914304711,0.34893191928074,-1.99033645066927,-0.010568174136409,-0.627332106005063,1.40266711061321
"Aaron Williams",4.25,"Pete Gillen",647,4,21.2465753424658,2.75,0.196860858482904,-0.976623632509752,-0.0345246080928547,1.14968168670203,-1.01932640924033,-0.390423061880757,1.65320858667257,0.0349878989758645,0.882596755830724,-0.0813562197865499,1.43070711818431,NA,0.20076756151629,-1.27138398448099,0.367284759619766,-1.20622561530281,-0.834968593509358,0.701971642160573,-0.265529442974618,-0.792233945017178,1.12824774253055,0.362994814263988,1.66121867981508,-0.968099849667913,-0.265481316262191,NA,-0.401139274326154,-0.41856311299952
"Acie Earl",5,"Tom Davis",2012,4,22.5232876712329,8.14,1.2680956486018,-0.996794280634537,1.36529851229622,0.523971962389044,-1.10048085793877,-0.719060504044998,1.38441598263032,0.325524776756186,1.02255050592943,0.317322608970028,-0.825876219159931,NA,0.78244196682667,-1.41184703158471,1.43274951589093,-1.18203992743332,0.676935096108048,0.8917840057635,-0.845231658385295,0.02873820536601,1.44955924884634,1.23453737565087,-0.480247187331561,0.217228742385875,-0.348799049725116,NA,0.303562391093932,-1.14045654221413
"Acie Law",1,"Billy Gillispie",1659,4,21.9315068493151,5.13,-0.49522434837165,-0.162426685422097,-0.0649792881215434,-1.24849434574372,1.04869052247537,-0.148271945472721,-0.925166590677654,0.0162023712729109,-0.773426629898922,-0.621757835417674,-0.454575434970756,-1.22079259135866,0.22788522333911,1.36277483326275,0.476005653116824,-0.166241036914706,0.208964906464565,-1.23833251911379,1.50980859172058,-0.279126351027685,-0.906725130802807,0.169318689511347,-0.083679434156257,0.44770930195189,-0.2222788762413,1.64306072276617,-0.0679674883984616,1.53499224376845
"Adam Keefe",3.75,"Mike Montgomery",5290,4,21.8547945205479,8.19,-0.387712433427449,-1.01586367941051,1.00460544443185,1.3200229666218,-0.747245247494908,-0.126675923275962,-0.187285201940778,-0.142557139484668,0.115677752139699,-0.315447687318902,1.13566410324179,NA,1.98198466229805,-0.876135608759852,2.04158651947446,-1.06111148808587,1.32489382022979,1.48231135919483,-0.0119097237324471,0.336602761759706,-0.585413624487014,0.65350900139295,-0.876814940506864,1.60011209978196,0.682417369167494,NA,0.359273212659447,-0.25966737464954
"Adam Morrison",3.25,"Mark Few",3278,3,21.4520547945205,5.02,0.0938360205608059,1.05865278636224,-0.92431783258864,-0.909990089099704,-0.217538302337096,-1.68530192946094,-0.862824430713496,-0.480280905763705,-0.670053429076168,0.0171480269747075,-1.23343871049274,-0.00582886773439008,-1.16366477125216,0.0278363823343652,1.01961012060211,0.704443726386965,1.93685483745589,-0.68998569092756,-0.664074716069458,-0.68961242621928,-0.692517459925612,-0.799061934251859,-1.11475559241205,2.24216508714443,-0.0380331761521985,1.07099512638315,0.462258563943977,-0.482966036849013
"Adonal Foyle",5,"Jack Bruen",4381,3,21.813698630137,-6.42,-0.300748141168378,-1.02897266514238,-0.9027155773106,1.4296696294829,-0.961180235976914,-1.08840969319918,3.36133384833321,-0.466140362037946,0.429200908183397,-1.34463974956137,-0.137627089566011,NA,-0.429827779085091,-1.08447411560771,2.06333069817387,-1.10948286382485,1.68487088918632,1.58776267230757,-0.627843327606291,-1.30534153900667,4.07360321709198,1.71872768753248,-1.03544204177699,1.08976228931436,0.781877280682159,NA,0.64008908461041,-1.02555331439746
"Adrian Griffin",2,"George Blaney",1927,4,21.4931506849315,10.88,-1.03230972164693,-0.492278988774605,-0.388103972956779,0.30257043567258,0.23242093590336,2.29386622265281,-0.65712448240226,-0.712191534888335,0.217863406984273,-1.22869567227414,-0.196132031994095,NA,0.482386795280103,0.92130343321008,1.10658683539976,-0.649954794304524,-0.15101216249196,0.111444288729243,-0.0119097237324471,1.46543946853659,-0.531861706767715,0.266156751887667,-0.083679434156257,-0.0132518171801393,-0.298314739085265,-1.72061753334297,-0.478885348101406,-0.123746449832469
"Al-Farouq Aminu",3,"Dino Gaudio",7040,2,19.2767123287671,8.85,-0.681832990031267,-0.365635845097639,-0.643066925842626,0.879108093229795,-0.571909497979851,0.741823394310815,0.00330445817628072,-0.256435854021823,-0.785851083215673,-0.90207427153412,0.208470817902262,NA,-0.190002078237467,-0.597764040958647,0.389028938319178,-0.335540852001142,0.892921337481963,1.52449188443992,-0.809000269922128,0.233981242961807,0.378520894460365,1.13769931327455,0.471515420289168,-0.128492096963146,-0.715988986728667,-1.44216122006221,0.702000716722231,-1.09647347238696
"Al Horford",5,"Billy Donovan",10679,3,20.5780821917808,7.34,0.42998270059532,-1.01259940008524,-0.317740903833601,1.50755393066202,-0.142844575641068,-0.825946498776441,0.617594318892377,-0.807039346591624,-0.65279442318805,0.166726920102036,1.51030791338999,NA,-0.209846911180335,0.39330204598272,0.215075508723885,-1.15785423956383,0.820925923690657,1.7353945106654,-0.0119097237324471,-0.792233945017178,1.12824774253055,-0.508547747122897,0.63014252155929,-0.194343685410579,1.57416183330465,NA,1.54105377187857,0.233940194422981
"Al Thornton",3.5,"Leonard Hamilton",4812,4,23.0657534246575,8.63,1.29677084523104,-0.238967507841221,0.708438482796971,-0.273861715746704,-0.701535774665423,-0.887896409633195,0.0431000680437145,-0.417203160825902,-0.547253054479873,1.00721656004031,-0.0333654010147192,-0.553527732149189,-0.0337739173251245,-0.718452079021713,0.932633405804467,-0.166241036914706,0.784928216795005,0.322346914954718,-1.1713141545538,0.541845799355503,0.16431322358317,0.266156751887667,0.471515420289168,1.23792836332108,0.407410713829452,1.26006765400126,0.129822459536603,-1.33193244820643
"Alaa Abdelnaby",4,"Mike Krzyzewski",2694,4,21.5205479452055,8.81,1.52384131727506,-1.02635904837052,0.22962042547,1.37782695973304,-0.982093922237487,-0.973583690319952,0.0100591972751346,0.759875909563336,0.93685335169687,0.917827462637975,0.800962931018475,NA,-0.241489639629162,-1.33492933861626,0.845656691006821,-1.20622561530281,0.388953440942827,0.512159278557645,-1.09885137762747,-0.792233945017178,0.485624729898963,-1.28325224613346,0.868083173464472,0.513560890399322,1.58430563822367,NA,0.495863358817634,-0.954374323714569
