"par","ego","crnt"
"Al Skinner","Bill Coen",1
NA,"Bill Cofield",0
"Charles Woollum","Bill Courtney",1
NA,"Bill Detrick",0
NA,"Bill Diddle",0
NA,"Bill Dooley",0
NA,"Bill Driver",0
NA,"Bill Dudak",0
NA,"Bill E. Foster",0
NA,"Bill Easton",0
NA,"Bill Edmunds",0
"Wayne Ballard","Bill Evans",1
NA,"Bill Feeney",0
NA,"Bill Ferguson",0
NA,"Bill Fitch",0
NA,"Bill Franey",0
"Johnny Orr","Bill Frieder",0
NA,"Bill Gardiner",0
"Elmer Gross","Bill Gibson",0
"Dan Fitzgerald","Bill Grier",1
"Dean Smith","Bill Guthridge",0
NA,"Bill Harrell",0
NA,"BIll Henderson",0
NA,"Bill Hennigh",0
"Mike Jarvis","Bill Herrion",1
NA,"Bill Hodges",0
NA,"Bill Holding",0
NA,"Bill Jones",0
NA,"Bill Kajikawa",0
NA,"Bill Kirsch",0
NA,"Bill Klucas",0
NA,"Bill Lange",0
NA,"Bill Lynn",0
NA,"Bill Menefee",0
NA,"Bill Moore",0
NA,"Bill Mulligan",0
NA,"Bill Musselman",0
NA,"Bill Nelson",0
NA,"Bill Oates",0
NA,"Bill O'Connor",0
NA,"Bill Olson",0
NA,"Bill Orwig",0
"John Wooden","Bill Perigo",0
NA,"Bill Raftery",0
NA,"Bill Reid",0
NA,"Bill Reigel",0
NA,"Bill Rohr",0
NA,"Bill Roper",0
NA,"Bill Scott",0
"Larry Brown","Bill Self",1
NA,"Bill Stockton",0
NA,"Bill Strannigan",0
NA,"Bill Strickling",0
NA,"Bill Trumbo",0
NA,"Bill Turner",0
NA,"Bill Vandenburgh",0
NA,"Bill Vesp",0
NA,"Bill Weimar",0
NA,"Bill Wendt",0
"Abe Lemons","Bill White",0
NA,"Bill Whitmore",0
NA,"Bill Williams",0
"Jerry Wainwright","Billy Donlon",1
"Rick Pitino","Billy Donovan",1
"Celester Collier","Billy Gillispie",0
"Gary Williams","Billy Hahn",0
NA,"Billy Henry",0
"Newton Chelette","Billy Kennedy",1
"Speedy Morris","Billy Lange",0
NA,"Billy Laval",0
"Tom Quinn","Billy Lee",0
NA,"Billy Lush",0
NA,"Billy McCann",0
NA,"Billy Taylor",0
"Gene Robbins","Billy Tubbs",0
NA,"Birch Bayh",0
NA,"Birney Crum",0
"Mike Montgomery","Blaine Taylor",0
NA,"Blair Gullion",0
NA,"Blue Foster",0
NA,"Bo Brickels",0
"Bob Dukiet","Bo Ellis",0
NA,"Bo Rowland",0
"Bill Cofield","Bo Ryan",1
NA,"Bo Shepard",0
NA,"Bo Sherman",0
NA,"Bob Bass",0
"Bob Knight","Bob Bender",0
NA,"Bob Beyer",0
NA,"Bob Boyd",0
NA,"Bob Brown",0
NA,"Bob Burton",0
NA,"Bob Calihan",0
NA,"Bob Cleeland",0
NA,"Bob Conibear",0
"Doggie Julian","Bob Cousy",0
NA,"Bob Daniels",0
NA,"Bob Davies",0
NA,"Bob Davis",0
NA,"Bob Dewey",0
"Bob Knight","Bob Donewald",0
NA,"Bob Duffy",0
"George Blaney","Bob Dukiet",0
NA,"Bob Evans",0
NA,"Bob Feerick",0
NA,"Bob Gaillard",0
NA,"Bob Gottlieb",0
NA,"Bob Greenwood",0
NA,"Bob Hallberg",0
NA,"Bob Hamilton",0
NA,"Bob Hawking",0
"Larry Brown","Bob Hill",0
"Kelvin Sampson","Bob Hoffman",1
NA,"Bob Hofman",0
"Joedy Gardner","Bob Huggins",1
NA,"Bob Kelly",0
NA,"Bob King",0
NA,"Bob Kinnan",0
NA,"Bob Klenck",0
"Hank Iba","Bob Knight",0
"Don Kennedy","Bob Leckie",0
NA,"Bob Luksta",0
NA,"Bob MacKinnon",0
"Gene Iba","Bob Marlin",1
NA,"Bob McHenry",0
"Eddie Biedenbach","Bob McKillop",1
NA,"Bob McKinley",0
NA,"Bob Miller",0
NA,"Bob Mulcahy",0
NA,"Bob Nichols",0
NA,"Bob Ortegel",0
NA,"Bob Prewitt",0
NA,"Bob Quinn",0
NA,"Bob Reinhart",0
NA,"Bob Ruess",0
NA,"Bob Rupert",0
NA,"Bob Schermerhorn",0
NA,"Bob Snake LeGrand",0
NA,"Bob Spear",0
"Burr Carlson","Bob Staak",0
NA,"Bob Stauffer",0
NA,"Bob Stevens",0
NA,"Bob Sundvold",0
NA,"Bob Sweeney",0
NA,"Bob Tallent",0
"Dick Edwards","Bob Thomason",0
NA,"Bob Thorn",0
"Bill E. Foster","Bob Valvano",0
NA,"Bob Vanatta",0
NA,"Bob Wade",0
NA,"Bob Walters",0
NA,"Bob Weinhauer",0
"Bob Knight","Bob Weltlich",0
NA,"Bob Wenzel",0
"Tom Asbury","Bob Williams",1
NA,"Bob Wright",0
NA,"Bob Yates",0
NA,"Bob Zuffelato",0
NA,"Bobby Braswell",0
NA,"Bobby Collins",0
"Frank McGuire","Bobby Cremins",0
NA,"Bobby Dye",0
"Pete Gillen","Bobby Gonzalez",0
"Mike Krzyzewski","Bobby Hurley",1
NA,"Bobby Hussey",0
NA,"Bobby Jones",0
NA,"Bobby Laughlin",0
"Cliff Ellis","Bobby Lutz",0
NA,"Bobby Nash",0
NA,"Bobby Paschal",0
NA,"Bobby Roberts",0
NA,"Bobby Rogers",0
NA,"Bobby Watson",0
NA,"Bones McKinney",0
NA,"Borden Price",0
NA,"Boyd Chambers",0
NA,"Boyd Hill",0
NA,"Boydson Baird",0
"Jim Crews","Brad Brownell",1
NA,"Brad Greenberg",0
"Jim Harrick","Brad Holland",0
"Kelvin Sampson","Brad Huse",1
NA,"Brad Siegfried",0
NA,"Brad Snyder",0
"Dick Bennett","Brad Soderberg",0
"Todd Lickliter","Brad Stevens",0
"Bob Huggins","Brad Underwood",1
NA,"Brady Cowell",0
NA,"Branch Bocock",0
"Everett Dean","Branch McCracken",0
NA,"Brandon Grover",0
"Brad Stevens","Brandon Miller",1
"Ray Carazo","Brendan Malone",0
"Joe Dean","Bret Campbell",0
"Fran McCaffery","Brett Reed",1
NA,"Brian Ellerbe",0
"Tom Izzo","Brian Gregory",1
NA,"Brian Hammel",0
NA,"Brian Hill",0
"Steve Alford","Brian Jones",1
"Carroll Williams","Brian Katz",1
NA,"Brian Mahoney",0
NA,"Brian McCall",0
NA,"Brian Nash",0
"Mike Deane","Brian Wardle",1
NA,"Brick Breeden",0
"Shelby Metcalf","Brooks Thompson",1
NA,"Brother Phillip",0
NA,"Bruce Drake",0
NA,"Bruce Hale",0
NA,"Bruce Haroldson",0
NA,"Bruce Larson",0
NA,"Bruce O'Neil",0
"Bill Gibson","Bruce Parkhill",0
"Tom Davis","Bruce Pearl",0
NA,"Bruce Stewart",0
"Gene Keady","Bruce Weber",1
"John Calipari","Bruiser Flint",1
NA,"Bryan Morse",0
"Homer Drew","Bryce Drew",1
NA,"Bubbs Moseley",0
