"par","ego","crnt"
NA,"Dutch Belnap",0
NA,"Dutch Clark",0
NA,"Dutch Connor",0
NA,"Dutch Hermann",0
"Phog Allen","Dutch Lonborg",0
NA,"Dutch Meyer",0
NA,"Dutch Thiele",0
NA,"Dwayne Morrison",0
"Lefty Driesell","Dwight Freeman",0
NA,"Dwight Jones",0
NA,"Dwight Keith",0
NA,"Dwight Ream",0
NA,"Dwight Steussey",0
NA,"Dyke Raese",0
NA,"E. Berry",0
NA,"E. W. Donald",0
NA,"E.A. Diddle",0
NA,"E.A. Knoth",0
NA,"E.C. Curtiss",0
NA,"E.C. Hayes",0
NA,"E.D. Sandborn",0
NA,"E.D. Taylor",0
NA,"E.H. Lynch",0
NA,"E.J. Donnelly",0
NA,"E.J. Mather",0
NA,"E.L. Anderson",0
NA,"E.L. Roberts",0
NA,"E.P. Husky Hunt",0
NA,"E.R. Hubbard",0
NA,"E.R. Stewart",0
NA,"E.T. MacDonnell",0
NA,"E.V. Long",0
NA,"E.W. Foy",0
NA,"E.Y. Burton",0
NA,"Earl Abell",0
NA,"Earl Brown",0
NA,"Earl Ford",0
NA,"Earl Goheen",0
NA,"Earl Hawkins",0
NA,"Earl Jackson",0
NA,"Earl Krieger",0
NA,"Earl Leslie",0
NA,"Earl Pomeroy",0
NA,"Earl Pritchard",0
NA,"Earl Scott",0
NA,"Earl Voss",0
NA,"Earl Williams",0
NA,"Earl Wright",0
NA,"Earnest Dockstader",0
NA,"Eck Allen",0
NA,"Ed Badger",0
NA,"Ed Bowman",0
NA,"Ed Burns",0
NA,"Ed Byhre",0
"Randy Nesbit","Ed Conroy",1
"Al Skinner","Ed Cooley",1
NA,"Ed Daniels",0
NA,"Ed Davidson",0
"Dick Harter","Ed DeChellis",1
NA,"Ed DeLacy",0
NA,"Ed Douma",0
NA,"Ed Freeman",0
NA,"Ed Goorjian",0
NA,"Ed Gregory",0
NA,"Ed Hamilton",0
NA,"Ed Jucker",0
NA,"Ed McLean",0
NA,"Ed Meyers",0
NA,"Ed Murphy",0
NA,"Ed Olle",0
NA,"Ed Rule",0
"Steve Alford","Ed Schilling",0
NA,"Ed Stanczyk",0
NA,"Ed Tapscott",0
NA,"Ed Thompson",0
NA,"Ed Thorp",0
NA,"Ed Visscher",0
NA,"Ed Walker",0
NA,"Edbert Buss",0
"Norm Sloan","Eddie Biedenbach",0
NA,"Eddie Burke",0
NA,"Eddie Cameron",0
NA,"Eddie Cook",0
NA,"Eddie Crawford",0
NA,"Eddie Fields",0
"Dean Smith","Eddie Fogler",0
NA,"Eddie Hickey",0
NA,"Eddie Holbrook",0
"Tom Young","Eddie Jordan",1
NA,"Eddie Keinholz",0
NA,"Eddie McCarter",0
"Jack McCloskey","Eddie Payne",1
"Hank Iba","Eddie Sutton",0
NA,"Eddy Conners",0
NA,"Edgar Diddle",0
NA,"Edgar Wingard",0
NA,"Edmund Dollard",0
NA,"Edmund Prince",0
NA,"Edward Anderson",0
NA,"Edward Ashnault",0
NA,"Edward Benjamin",0
NA,"Edward Bennis",0
NA,"Edward Campbell",0
NA,"Edward Conlin",0
NA,"Edward Donovan",0
NA,"Edward Flynn",0
NA,"Edward Hanrahan",0
NA,"Edward Hickox",0
"Kevin Nickelberry","Edward Joyner",1
NA,"Edward Keating",0
NA,"Edward Kelleher",0
NA,"Edward Martin",0
NA,"Edward McCone",0
NA,"Edward McNichol",0
NA,"Edward Melvin",0
NA,"Edward Miller",0
"Herb Sendek","Edward Phelps",0
NA,"Edward Siskind",0
NA,"Edward Wachter",0
NA,"Edward Weber",0
NA,"Edwin Bannick",0
NA,"Edwin Kimball",0
NA,"Edwin Sweetland",0
"Ben Miller","Eldon Miller",0
NA,"Eli Butler",0
NA,"Ellis Johnson",0
NA,"Ellison Ketchum",0
NA,"Elmer Capshaw",0
NA,"Elmer Gross",0
NA,"Elmer Hoefer",0
NA,"Elmer Holm",0
NA,"Elmer Lampe",0
NA,"Elmer Mitchell",0
NA,"Elmer Ripley",0
NA,"Elwood Brown",0
NA,"Elwood Geiges",0
NA,"Elwood Plummer",0
NA,"Elwood Romney",0
NA,"Emil Breitkreutz",0
NA,"Emmet Hendricks",0
NA,"Emmett Angell",0
NA,"Emmett Davis",0
"Piggy Lambert","Emmett Lowery",0
NA,"Emory Bauer",0
NA,"Emory Luck",0
NA,"Enoch Mills",0
NA,"Erastus Milne",0
NA,"Eric Bridgeland",0
"Mike Montgomery","Eric Reveno",1
NA,"Ernest Bearg",0
NA,"Ernest Blood",0
NA,"Ernest Calverley",0
NA,"Ernest Holbrook",0
NA,"Ernest Hole",0
NA,"Ernest Messikomer",0
NA,"Ernest Smith",0
NA,"Ernest Wehman",0
NA,"Ernest Willis",0
"Mike Montgomery","Ernie Kent",0
"Ozzie Cowles","Ernie McCoy",0
"Lou Campanelli","Ernie Nestor",0
NA,"Ernie Smith",0
"Ben Howland","Ernie Zeigler",0
NA,"Ervin Hinds",0
NA,"Eugene Gibson",0
NA,"Eugene Harris",0
NA,"Eugene Johnson",0
"Glen Rose","Eugene Lambert",0
NA,"Eugene McGuigan",0
NA,"Eugene Pare",0
NA,"Eugene Van Gent",0
NA,"Everett Case",0
NA,"Everett Dean",0
NA,"Everett May",0
NA,"Everett Shelton",0
NA,"Everett Sweeley",0
NA,"Ewing Freeland",0
NA,"F. Knight",0
NA,"F.E. Ellis",0
NA,"F.E. Schacht",0
NA,"F.E. Scofield",0
NA,"F.G. Beyerman",0
NA,"F.G. Carter",0
NA,"F.H. Gaoton",0
NA,"F.J. Pratt",0
NA,"F.M. Crawford",0
NA,"F.M. Long",0
NA,"F.W. Stone",0
NA,"Fang Mitchell",1
NA,"Fay Bartlett",0
NA,"Fletcher Lane",0
NA,"Florence Harvey",0
NA,"Floyd Burdette",0
NA,"Floyd Egan",0
NA,"Floyd Millet",0
NA,"Floyd S. Wilson",0
NA,"Floyd Stahl",0
NA,"Floyd Thomas",0
NA,"Flucie Stewart",0
NA,"Forddy Anderson",0
NA,"Forest Rees",0
"Sam Barry","Forrest Twogood",0
NA,"Foxy Flumere",0
"Gary Williams","Fran Dunphy",1
"Rick Barnes","Fran Fraschilla",0
"Digger Phelps","Fran McCaffery",1
"Fran Dunphy","Fran O'Hanlon",1
NA,"Francis Brady",0
NA,"Francis Cayou",0
NA,"Francis Schmidt",0
NA,"Francis Stadsvold",0
NA,"Francois D'Eliscu",0
NA,"Frank Adams",0
NA,"Frank Armin",0
NA,"Frank Arnold",0
NA,"Frank Boek",0
NA,"Frank Brennan",0
NA,"Frank Brickey",0
NA,"Frank Bridges",0
NA,"Frank Carideo",0
NA,"Frank Castleman",0
NA,"Frank Dobbs",0
NA,"Frank Dobson",0
NA,"Frank Donlon",0
NA,"Frank Fellows",0
NA,"Frank Gullum",0
NA,"Frank Haggerty",0
"Rick Barnes","Frank Haith",1
NA,"Frank Harrell",0
NA,"Frank Harsh",0
NA,"Frank Hays",0
NA,"Frank Hering",0
NA,"Frank Hill",0
NA,"Frank Johnson",0
NA,"Frank Keaney",0
NA,"Frank Kerns",0
NA,"Frank Kimbrough",0
NA,"Frank Kleeberger",0
NA,"Frank La Porte",0
NA,"Frank Layden",0
NA,"Frank Lehmer",0
"Rudy Keeling","Frank Martin",1
"Joe Lapchick","Frank McGuire",0
NA,"Frank McLaughlin",0
NA,"Frank Mulzoff",0
NA,"Frank Murray",0
NA,"Frank O'Donnell",0
"Doggie Julian","Frank Oftring",0
NA,"Frank Pinckney",0
NA,"Frank Power",0
NA,"Frank Rice",0
NA,"Frank Root",0
NA,"Frank Selvy",0
NA,"Frank Silva",0
NA,"Frank Stanton",0
NA,"Frank Steger",0
NA,"Frank Sullivan",0
NA,"Frank Summers",0
NA,"Frank Szymanski",0
NA,"Frank Truitt",0
NA,"Frank Winters",0
"Don DeVoe","Frankie Allen",1
NA,"Franklyn Ashcraft",0
NA,"Fred Archer",0
NA,"Fred B. Lewis",0
NA,"Fred Bailey",0
NA,"Fred Barakat",0
NA,"Fred Bennion",0
NA,"Fred Boye",0
NA,"Fred Broderick",0
NA,"Fred Brown",0
NA,"Fred Clapp",0
NA,"Fred Conley",0
NA,"Fred Cozens",0
NA,"Fred Dawson",0
NA,"Fred Emmerson",0
NA,"Fred Enke",0
NA,"Fred George",0
NA,"Fred Goodman",0
NA,"Fred Hengeveld",0
"Tommy Amaker","Fred Hill",0
NA,"Fred Hobdy",0
"Johnny Orr","Fred Hoiberg",1
NA,"Fred J. Crowell",0
NA,"Fred Locke",0
NA,"Fred Luehring",0
NA,"Fred Mesmer",0
NA,"Fred Morrell",0
NA,"Fred Murphy",0
NA,"Fred Murray",0
NA,"Fred Ostergren",0
NA,"Fred Overton",0
NA,"Fred Parsons",0
NA,"Fred Powers",0
NA,"Fred Reagle",0
NA,"Fred Rice",0
"Lee Patton","Fred Schaus",0
NA,"Fred Sefton",0
NA,"Fred Shabel",0
NA,"Fred Snowden",0
NA,"Fred Taylor",0
NA,"Fred Trenkle",0
NA,"Fred Vail",0
NA,"Fred Walker",0
NA,"Freddie Goss",0
NA,"Frederick Cahoon",0
NA,"Frederick Cooper",0
NA,"Fredrick Prosch",0
NA,"Fritz Crisler",0
NA,"Fritz Knorr",0
"Phog Allen","Frosty Cox",0
NA,"Frosty Holt",0
NA,"Fuzzy Evans",0
NA,"G.C. Bradstreet",0
"Tubby Smith","G.G. Smith",1
NA,"G.W. Henry",0
"Fred Schaus","Gale Catlett",0
NA,"Gary Brokaw",0
NA,"Gary Colson",0
"John Wooden","Gary Cunningham",0
NA,"Gary Edwards",0
NA,"Gary Garner",0
NA,"Gary Hulst",0
NA,"Gary McPherson",0
NA,"Gary Moss",0
"Ron Palmer","Gary Stewart",0
NA,"Gary Thompson",0
"Pete Carril","Gary Walters",0
"Ben Braun","Gary Waters",1
NA,"Gary Williams",0
NA,"Gary Zarecky",0
NA,"Gene Bartow",0
"Mike Brey","Gene Cross",0
NA,"Gene Evans",0
"Hank Iba","Gene Iba",0
"Eddie Sutton","Gene Keady",0
NA,"Gene Littles",0
"Cotton Fitzsimmons","Gene Robbins",0
NA,"Gene Roberti",0
NA,"Gene Smithson",0
NA,"Gene Sullivan",0
NA,"Gene Visscher",0
"Jim Christian","Geno Ford",1
NA,"George Balanis",0
NA,"George Barsi",0
NA,"George Binnewies",0
NA,"George Bisacca",0
"Jim Calhoun","George Blaney",0
NA,"George Bohler",0
NA,"George Bond",0
NA,"George Buchheit",0
NA,"George Buckheit",0
NA,"George Carlisle",0
NA,"George Cassidy",0
NA,"George Cobb",0
NA,"George Cockill",0
NA,"George Colliflower",0
NA,"George Cooper",0
NA,"George Corneal",0
NA,"George Davidson",0
NA,"George DeKruif",0
NA,"George Denman",0
NA,"George Dewey",0
NA,"George Edwards",0
NA,"George Everson",0
NA,"George Felton",0
NA,"George Fisher",0
NA,"George Fitzgerald",0
NA,"George Flint",0
NA,"George Fricke",0
NA,"George Garber",0
NA,"George Gardner",0
NA,"George Gauthier",0
NA,"George Goheen",0
NA,"George Grebenstein",0
NA,"George Hammer",0
NA,"George Hanson",0
NA,"George Hill",0
NA,"George Hinchcliffe",0
NA,"George Holstrom",0
NA,"George Hunter",0
NA,"George Huntington",0
NA,"George Ireland",0
"Lafayette Stribling","George Ivory",1
NA,"George Keogan",0
NA,"George King",0
NA,"George Koonsman",0
NA,"George Krajack",0
NA,"George Lain",0
NA,"George Levis",0
NA,"George Lewis",0
NA,"George Little",0
NA,"George McCaa",0
NA,"George McCarty",0
NA,"George McLaren",0
NA,"George McQuarn",0
NA,"George Muellich",0
NA,"George Nessman",0
NA,"George O'Brien",0
NA,"George Owen",0
NA,"George Pfeifer",0
NA,"George Powell",0
NA,"George Pyle",0
"Lefty Driesell","George Raveling",0
NA,"George Rider",0
NA,"George Rody",0
NA,"George S. Gummy Proctor",0
NA,"George Sauer",0
NA,"George Schaeffer",0
NA,"George Scholz",0
NA,"George Shepard",0
NA,"George Smith",0
NA,"George Spaulding",0
NA,"George Strohm",0
NA,"George Sweeney",0
NA,"George Sweetland",0
NA,"George Taylor",0
NA,"George Theofanis",0
NA,"George Tilden",0
NA,"George Trautman",0
NA,"George Veenker",0
NA,"George Walker",0
NA,"George White",0
NA,"George Wigton",0
NA,"George Wolfe",0
NA,"George Wyman",0
NA,"Gerald Alaimo",0
"Bob Bass","Gerald Myers",0
"Bob Cousy","Gerry Friel",0
NA,"Gerry Gerard",0
"Bob Knight","Gerry Gimelstob",0
"John Olive","Gib Arnold",1
NA,"Gib Chapman",0
"Fran Dunphy","Gil Jackson",0
NA,"Gil Philbrick",0
NA,"Gilmour Dobie",0
NA,"Glen Gray",0
NA,"Glen Harmeson",0
NA,"Glen Kinney",0
"Jim Calhoun","Glen Miller",0
NA,"Glen Rose",0
NA,"Glen Whitis",0
NA,"Glendon Anderson",0
"Norman Roberts","Glenn Braica",1
NA,"Glenn Carberry",0
NA,"Glenn Curtis",0
NA,"Glenn Duhon",0
NA,"Glenn Potter",0
NA,"Glenn Wilkes",0
NA,"Goat Hale",0
NA,"Gob Wilson",0
NA,"Gordon Chiesa",0
"William Reinhart","Gordon Ridings",0
NA,"Gordon Stauffer",0
NA,"Grady Higgenbotham",0
"Derek Thompson","Gravelle Craig",1
NA,"Greasy Neale",0
NA,"Greg Blatt",0
"Perry Clark","Greg Gary",0
NA,"Greg Graham",0
"George Blaney","Greg Herenda",1
"Mike Bernard","Greg Jackson",1
"Pat Haley","Greg Kampe",1
"Sherman Dillard","Greg Lansing",1
"Jim Berry","Greg McDermott",1
NA,"Greg Vetrone",0
NA,"Greg Walcavich",0
"Dana Altman","Greg White",0
"John Kresse","Gregg Marshall",1
"Mike Schuler","Gregg Nibert",1
NA,"Gregg Polinsky",0
NA,"Grey Giovanine",0
NA,"Griff Harsh",0
NA,"Grinnell Jones",0
NA,"Griz Wagner",0
NA,"Grover Washabaugh",0
NA,"Gueroon Messer",0
NA,"Gurney Afflerbach",0
NA,"Gus Dorais",0
NA,"Gus Ganakas",0
NA,"Gus Guydon",0
NA,"Gus Henderson",0
NA,"Gus Miller",0
NA,"Gus Morrow",0
NA,"Gus O'Conner",0
NA,"Gus Tebell",0
NA,"Guy Denton",0
"Alden Pasche","Guy Lewis",0
NA,"Guy Lowman",0
NA,"Guy Morrison",0
NA,"Guy Roberts",0
NA,"Guy Strong",0
NA,"Guy Wicks",0
NA,"H. B. Emerson",0
NA,"H.A. Faulkner",0
NA,"H.A. Lorenz",0
NA,"H.B. Lloyd",0
NA,"H.C. Gilstrap",0
NA,"H.E. Zehner",0
NA,"H.F. Tuttle",0
NA,"H.H. Walters",0
NA,"H.M. Grey",0
NA,"H.P. Cole",0
NA,"H.P. Mullennex",0
NA,"H.S. Tucker",0
NA,"H.S.W. Cook",0
NA,"H.W. Hargiss",0
NA,"H.W. Maloney",0
NA,"H.W. Withers",0
NA,"Hal Iddings",0
NA,"Hal Lee",0
NA,"Hal Mefford",0
NA,"Hal Wissel",0
"Howard Hobson","Hank Anderson",0
NA,"Hank Crisp",0
NA,"Hank Egan",0
NA,"Hank Garrity",0
NA,"Hank Iba",0
NA,"Hank Kuzma",0
"Al McGuire","Hank Raymonds",0
NA,"Hank Witt",0
NA,"Hans Kangeter",0
NA,"Happy Mahfouz",0
NA,"Happy Wann",0
NA,"Harlan Dykes",0
NA,"Harlan Hodges",0
NA,"Harlan Sanborn",0
NA,"Harold Anderson",0
NA,"Harold Blevins",0
NA,"Harold Bradley",0
NA,"Harold Bruce",0
NA,"Harold Church",0
NA,"Harold Cunningham",0
NA,"Harold Davis",0
NA,"Harold Dean",0
NA,"Harold Evans",0
NA,"Harold Hansen",0
NA,"Harold Merritt",0
NA,"Harold Olsen",0
NA,"Harold Taylor",0
NA,"Harold White",0
NA,"Harold Woodbury",0
NA,"Harorl Parkinson",0
NA,"Harry Adams",0
NA,"Harry Baujan",0
NA,"Harry Bell",0
NA,"Harry Benfer",0
NA,"Harry Booth",0
NA,"Harry Buck",0
NA,"Harry Caldwell",0
NA,"Harry Combes",0
NA,"Harry Edmonds",0
NA,"Harry Ewing",0
NA,"Harry Fisher",0
NA,"Harry Gilligan",0
NA,"Harry Good",0
NA,"Harry Haring",0
NA,"Harry Hartsell",0
NA,"Harry Hough",0
NA,"Harry Hughes",0
NA,"Harry Larrabee",0
NA,"Harry Litwack",0
NA,"Harry Lothes",0
"Darrel Johnson","Harry Miller",0
NA,"Harry O'Brien",0
NA,"Harry Ockerman",0
NA,"Harry Rabenhorst",0
NA,"Harry Reget",0
NA,"Harry Rhodes",0
NA,"Harry Shorter",0
NA,"Harry Singleton",0
NA,"Harry Solimano",0
NA,"Harry Young",0
NA,"Harry Zimmerman",0
NA,"Hart Morris",0
NA,"Harv Schmidt",0
NA,"Harvey Allen",0
NA,"Harvey Higley",0
NA,"Haskell Noyes",0
"Eugene Lambert","Hayden Riley",0
"Steve Cleveland","Heath Schroyer",0
NA,"Hec Edmundson",0
NA,"Henry Ahrens",0
NA,"Henry Anderson",0
NA,"Henry Benfer",0
"John Wooden","Henry Bibby",0
NA,"Henry Bream",0
NA,"Henry Bunoski",0
NA,"Henry Crane",0
"Rick Huckabay","Henry Dickerson",0
NA,"Henry Findlay",0
NA,"Henry Kean",0
NA,"Henry Lane",0
NA,"Henry Lannigan",0
NA,"Henry Pratt",0
NA,"Henry Rose",0
NA,"Henry Swasey",0
NA,"Herb Bunker",0
NA,"Herb Gregg",0
NA,"Herb Juul",0
NA,"Herb Krusen",0
"Rick Pitino","Herb Sendek",1
NA,"Herb Williams",0
NA,"Herbert Cramer",0
NA,"Herbert Raubenheimer",0
NA,"Herbert Underwood",0
NA,"Herbert W. Buck Read",0
NA,"Herman Stegeman",0
NA,"Hill Zahn",0
NA,"Hiram Wilson",0
NA,"Hoddy Mahon",0
NA,"Homer Curtis",0
"Bob Greenwood","Homer Drew",0
NA,"Homer Hazel",0
NA,"Homer Hubbard",0
NA,"Honey Russell",0
NA,"Hooper Eblen",0
NA,"Hop Riopel",0
"John Thompson","Horace Broadnax",1
NA,"Hosea Lewis",0
NA,"Houston Fancher",0
NA,"Houston Hughes",0
NA,"Howard Acher",0
NA,"Howard Beresford",0
NA,"Howard Cann",0
NA,"Howard Dallmar",0
NA,"Howard Engleman",0
NA,"Howard Flack",0
NA,"Howard Hartman",0
"William Reinhart","Howard Hobson",0
NA,"Howard Jackson",0
"Steve Yoder","Howard Moore",1
NA,"Howard Ortner",0
NA,"Howard Ray",0
NA,"Howard Stacey",0
NA,"Howard Wood",0
NA,"Howard Yerges",0
NA,"Howell Peacock",0
"Jim Calhoun","Howie Dickenman",1
NA,"Howie Evans",0
"Jack Gardner","Howie Shannon",0
NA,"Hoyt Brawner",0
NA,"Hub McQuillan",0
NA,"Hudson Hellmich",0
"Bud Kennedy","Hugh Durham",0
"Sumner Dole","Hugh Greer",0
NA,"Hugh McDermott",0
NA,"Hugo Bezdek",0
NA,"Hutch Hutchinson",0
NA,"I.W. Boynton",0
NA,"Ike Armstrong",0
NA,"Ion Cortright",0
NA,"Ira Carrithers",0
NA,"Ira Mitchell",0
NA,"Irvin Wisniewski",0
NA,"Irving Barron",0
NA,"Irving Carlyle",0
NA,"Isadore Anderson",0
"Bob Knight","Isiah Thomas",0
NA,"Ivan Guevara",0
NA,"Ivens Jones",0
NA,"Ivy Williamson",0
NA,"J. Chestnut",0
NA,"J. Elmore",0
NA,"J. Fred Bohler",0
NA,"J. Mitchell",0
NA,"J. Murphy",0
NA,"J.A. Pelletier",0
NA,"J.B. Andrews",0
NA,"J.B. Miller",0
NA,"J.B. Patterson",0
"Ron Ekker","J.D. Barnett",0
NA,"J.D. Flynn",0
NA,"J.E Barnes",0
NA,"J.E. Brinn",0
NA,"J.E. Rowe",0
NA,"J.F. Haddow",0
NA,"J.F. Park",0
NA,"J.G. Briggs",0
NA,"J.H. Brown",0
NA,"J.H. Nichols",0
NA,"J.J. Tigert",0
NA,"J.L. White",0
NA,"J.O. Christian",0
NA,"J.O. Erwin",0
"Ricky Blanton","J.P. Piper",1
NA,"J.P. Quinlisk",0
NA,"J.S. Burbage",0
NA,"J.S. Chambers",0
NA,"J.S. Robson",0
NA,"J.W. Mayhew",0
NA,"J.W. Pollard",0
NA,"J.W. Rhea",0
NA,"J.W. Rohrer",0
NA,"J.W. Viggers",0
NA,"Jack Armstrong",0
NA,"Jack Avina",0
NA,"Jack Bruen",0
NA,"Jack Carroll",0
NA,"Jack Crawford",0
NA,"Jack Dailey",0
NA,"Jack Devine",0
NA,"Jack Donohue",0
NA,"Jack Flavin",0
NA,"Jack Friel",0
NA,"Jack Gardner",0
NA,"Jack Gray",0
NA,"Jack Guy",0
"Hank Iba","Jack Hartman",0
NA,"Jack Kraft",0
NA,"Jack Kvancz",0
"Matt Zunic","Jack Leaman",0
NA,"Jack Magee",0
NA,"Jack Margenthaler",0
NA,"Jack Martin",0
NA,"Jack McClelland",0
NA,"Jack McCloskey",0
NA,"Jack McDonald",0
NA,"Jack McKinney",0
NA,"Jack Murdock",0
"Lute Olson","Jack Murphy",1
NA,"Jack Nagle",0
NA,"Jack Null",0
NA,"Jack Otten",0
"Jim Ferry","Jack Perri",1
NA,"Jack Phelan",0
NA,"Jack Prenderville",0
NA,"Jack Ramsay",0
NA,"Jack Reed",0
NA,"Jack Reitemeier",0
NA,"Jack Rohan",0
NA,"Jack Ryan",0
NA,"Jack Schalow",0
NA,"Jack Starrett",0
NA,"Jack Sterett",0
NA,"Jack Tierney",0
NA,"Jack Vowell",0
NA,"Jack Waters",0
NA,"Jackson Spencer",0
NA,"Jacob Devers",0
NA,"Jake Christiansen",0
NA,"Jake Lawlor",0
NA,"Jake McCandless",0
NA,"Jamaal Brown",0
NA,"James Adams",0
NA,"James Allen",0
NA,"James Baldwin",0
NA,"James Brown",0
NA,"James Carter",0
NA,"James Colliflower",0
NA,"James Dale",0
"Eddie Sutton","James Dickey",1
NA,"James Driver",0
NA,"James Elsom",0
NA,"James Freeman",0
NA,"James Gordon",0
"Kermit Davis","James Green",1
NA,"James Horne",0
NA,"James Houlihan",0
NA,"James Hynson",0
NA,"James Jenkins",0
"Seth Greenberg","James Johnson",1
"Dick Kuchen","James Jones",1
NA,"James Kase",0
NA,"James Lemon",0
NA,"James Maloney",0
NA,"James McCafferty",0
NA,"James McDermott",0
NA,"James Mullen",0
NA,"James Nau",0
NA,"James Needles",0
NA,"James Nufer",0
NA,"James Oliver",0
NA,"James Phelan",0
NA,"James Pierce",0
NA,"James Pixlee",0
NA,"James Scearce",0
NA,"James Sheldon",0
NA,"James Snyder",0
NA,"James St. Clair",0
NA,"James Stewart",0
NA,"James Underhill",0
NA,"James Usilton",0
NA,"James Walker",0
NA,"James Weaver",0
"Sean Miller","James Whiteford",1
"Riley Wallace","Jamie Dixon",1
"Jim Phelan","Jamion Christian",1
"Butch van Breda Kolff","Jan Van Breda Kolff",0
NA,"Jarrett Durham",0
"Bill Guthridge","Jason Capel",1
"Bob Marlin","Jason Hooten",1
"Bret Campbell","Jason James",1
NA,"Jason Rabedeaux",0
NA,"Jay Arnote",0
NA,"Jay Eck",0
"Paul Westhead","Jay Hillock",0
"Barry Collier","Jay John",0
NA,"Jay McCreary",0
NA,"Jay McWilliams",0
NA,"Jay Smith",0
"Charles Spoonhour","Jay Spoonhour",1
"Eddie Burke","Jay Wright",1
"John Stroia","Jayson Gee",1
NA,"Jeep Clark",0
"Bruce Parkhill","Jeff Bower",1
"Rich Falk","Jeff Bzdelik",1
NA,"Jeff Capel II",0
"Mike Krzyzewski","Jeff Capel III",0
"Mike Montgomery","Jeff Jackson",0
"Terry Holland","Jeff Jones",1
"Dean Smith","Jeff Lebo",1
NA,"Jeff Mangold",0
"John Beilein","Jeff Meyer",0
"Vic Bubas","Jeff Mullins",0
"Speedy Morris","Jeff Neubauer",1
NA,"Jeff Price",0
"Lou Campanelli","Jeff Reynolds",0
NA,"Jeff Ruland",0
NA,"Jeff Schneider",0
NA,"Jeffrey Menday",0
"Bob Knight","Jene Davis",0
"Roy Williams","Jerod Haase",1
"Fran Dunphy","Jerome Allen",1
NA,"Jerome Jenkins",0
NA,"Jerry Bush",0
"Dick Berg","Jerry DeGregorio",0
NA,"Jerry Desmond",0
"John Linn","Jerry Dunn",0
NA,"Jerry Eaves",0
NA,"Jerry Francis",0
"Roy Williams","Jerry Green",0
NA,"Jerry Hale",0
NA,"Jerry Hines",0
NA,"Jerry Hopkins",0
NA,"Jerry Krause",0
NA,"Jerry Lace",0
NA,"Jerry Lewis",0
NA,"Jerry Loyd",0
NA,"Jerry Lyne",0
NA,"Jerry Nissen",0
"Lou Watson","Jerry Oliver",0
NA,"Jerry Peirson",0
"Forrest Twogood","Jerry Pimm",0
NA,"Jerry Sanders",0
NA,"Jerry Slocum",1
NA,"Jerry Smith",0
NA,"Jerry Steele",0
NA,"Jerry Stone",0
NA,"Jerry Tarkanian",0
"Bob Staak","Jerry Wainwright",0
NA,"Jerry Welsh",0
NA,"Jesse Agel",0
NA,"Jesse Clements",0
NA,"Jesse Harper",0
"Lute Olson","Jessie Evans",0
NA,"Jiggs Dahlberg",0
NA,"Jiggs Donahue",0
NA,"Jim Aiken",0
NA,"Jim Anderson",0
NA,"Jim Baechtold",0
"Jim Satalin","Jim Baron",1
NA,"Jim Berry",0
"Fred B. Lewis","Jim Boeheim",1
"Tommy Gaither","Jim Boone",0
NA,"Jim Boutin",0
NA,"Jim Boyce",0
"Al McGuire","Jim Boylan",0
NA,"Jim Boyle",0
"Tom Izzo","Jim Boylen",0
"Jud Heathcote","Jim Brandenburg",0
NA,"Jim Brovelli",0
NA,"Jim Brown",0
NA,"Jim Browning",0
NA,"Jim Buford",0
NA,"Jim Calhoun",0
NA,"Jim Carey",0
"Herb Sendek","Jim Christian",1
NA,"Jim Cleamons",0
"Bob Knight","Jim Crews",1
NA,"Jim Dunn",0
NA,"Jim Duplantier",0
"Johnny Orr","Jim Dutcher",0
"Tim Capstraw","Jim Engles",1
"Rick Pitino","Jim F.X O'Brien",0
"Don Kelbick","Jim Ferry",1
NA,"Jim Flanagan",0
NA,"Jim Goddard",0
NA,"Jim Hallahan",0
NA,"Jim Haller",0
"Larry Brown","Jim Haney",0
NA,"Jim Harding",0
"Dutch Belnap","Jim Harrick",0
NA,"Jim Hatfield",0
NA,"Jim Hayford",1
NA,"Jim Hoar",0
NA,"Jim Holstein",0
"Chuck Daly","Jim J. O'Brien",0
NA,"Jim Jarrett",0
NA,"Jim Jarvis",0
NA,"Jim Karabetsos",0
NA,"Jim Kelly",0
NA,"Jim Kerwin",0
"Joe Swank","Jim Killingsworth",0
NA,"Jim King",0
"Terry Holland","Jim Larranaga",1
"Ray Dieringer","Jim Les",1
NA,"Jim Lynam",0
NA,"Jim McCafferty",0
NA,"Jim McDonald",0
NA,"Jim McGregor",0
"Dan Monson","Jim Molinari",1
NA,"Jim Padgett",0
NA,"Jim Park",0
"Kenneth Loeffler","Jim Phelan",0
"Bob Donewald","Jim Platt",0
NA,"Jim Pollard",0
"John Oldham","Jim Richards",0
NA,"Jim Rosborough",0
NA,"Jim Satalin",0
NA,"Jim Shuler",0
NA,"Jim Taylor",0
NA,"Jim Valvano",0
NA,"Jim Whatley",0
"Rick Majerus","Jim Whitesell",0
NA,"Jim Williams",0
"Tim Floyd","Jim Wooldridge",1
"John Kresse","Jim Yarbrough",1
NA,"Jimmie Powers",0
NA,"Jimmy Ashmore",0
NA,"Jimmy Collins",0
NA,"Jimmy DuBose",0
NA,"Jimmy Earle",0
"Bill Blakeley","Jimmy Gales",0
NA,"Jimmy Kitts",0
NA,"Jimmy Littleton",0
"Gary Williams","Jimmy Patsos",1
"Richard Williams","Jimmy Tillette",0
NA,"Jimmy Tubbs",0
