"Name","Tm","Season","EXP","MP","X2P","X2PA","X3P","X3PA","FT","FTA","TRB","AST","TOV","STL","BLK","PF","PTS","ASD","atRIM","Height","Weight","Wingspan","Reach","Vertical","Sprint","Agility","Age","SOS","MOV","EWP","FG","FGA","EFG","TS","FTper","X3per","X2per","FTR","X3bias"
"A.J. Hammons","purdue",2015,3,826.2,1.61559845812499,1.51158170220442,-1.05120383843916,-1.00895789476247,0.581451729455869,0.805028503809115,1.26822956139731,-0.706586988578927,1.09633579496829,-0.901771098452076,2.93428954765549,0.918182884067471,0.735977568491297,0.321204102324711,-0.886590377091994,1.3716051589196,2.25676708877488,1.21138891995458,1.38544721132107,-1.40694031666142,1.74254786308465,1.79302176892135,1.29768471460288,0.406086989898401,-0.162550958535073,-0.162993365346304,1.13017975721762,0.606943907329433,0.272369788331921,0.171293812511104,-0.300222974014974,-1.49443935349109,0.615367511844459,0.258372029596346,-1.09674068730683
"Aaron Harrison","kentucky",2015,2,1006.2,-0.741309082205744,-0.605836513660579,1.29004497433382,1.71911977821837,-0.288669826156985,-0.538794814746205,-1.12938698994263,-0.286067436818063,-1.72243767350306,0.537172524515818,-0.736278541607204,-0.697098724838935,0.231366223551989,1.14331011331928,-0.712562049523488,0.00595255639501547,-0.239249760939554,-0.512314738302284,-0.60435279165881,-0.243894440045555,-0.222355776978076,-0.404804261418132,-0.303420107602306,0.642761506654013,2.38274116682174,0.187933841658664,0.0243336564931857,0.908329274206066,-0.905312216047614,-0.846506836938008,0.697537111978808,0.402005138646864,-0.695473701349018,-1.00542536628281,1.24674075822965
"Aaron Thomas","florida-state",2015,1,169.8,0.979607534543681,1.03134251922473,-0.165325909281819,0.36736957989453,0.902022828892183,0.911119818431903,-0.835339677042448,0.17268116510288,1.36059580763747,0.742735899225517,-0.955416934996022,0.020804212452801,0.995928867399426,-1.43440422142527,-0.568543940220136,-0.278558402464274,-0.745687962330889,-0.409735596138008,-0.360864288579985,0.365504162748211,-0.425505245037717,-0.618526278746389,1.84774499196329,0.263622717676577,-1.13169335314925,-0.892816033235402,1.00258213021096,1.33887979831554,-0.763209591872758,-0.557014962874997,0.156949081581569,-0.129873179263338,0.203358875905882,-0.0782798495686703,-0.349439787795285
"Aaron White","iowa",2015,4,1071,0.493261534157973,0.310983744755195,-0.291879899161439,-0.296216881100811,2.64226594011789,2.11348805082351,0.72537298373544,-0.515441737778534,-1.5462643317236,0.434390837160968,-0.462355549871182,-1.11587543825911,1.08767638466112,1.34180404179104,0.854258844373738,0.788357693258061,0.158665968725066,0.317616652710279,0.639272210203615,0.201733851267513,0.731583011096232,0.61257421932913,1.27110187592004,0.578422803069963,0.208206363247932,0.329960466802182,0.364593995177626,0.0472282259871129,0.469277945505006,1.36061550277218,1.08956321441618,0.604011149733101,0.667107148998643,1.94659210222176,-0.468058978193943
"Alan Williams","california-santa-barbara",2015,4,799.2,1.69042091972279,2.55937628325102,-1.05120383843916,-1.08268972376196,1.90953199854917,1.75985033541421,2.69322807775973,-0.438983637458377,-0.224964268377656,-0.0795175996132796,0.962044007156134,0.319930436324358,1.2711714191845,-0.221091109854637,-1.78132801856418,0.646102213828416,1.64180641565683,0.892184538795899,0.639272210203615,-2.06258325491734,1.7722435071773,1.61960205617502,0.978690650408748,-1.12425503106507,-0.645397703182707,-0.204063314448013,1.21524484188873,1.57568258657575,-1.26713513706039,-0.724771640944,0.506928832392987,-1.49443935349109,-0.926194001635824,0.40733488179019,-1.09674068730683
"Alec Peters","valparaiso",2015,2,982.7,-0.367196774216739,-0.256571653311712,2.04936891361154,1.44876973855361,-0.0138945980687152,-0.432703500123417,0.544420791181481,-0.668357938418848,-1.10583097727495,-0.798989411097227,-0.626709344912795,-0.637273480064624,1.19471515479976,1.80375354805258,0.505636243456016,0.859485432972883,0.339536754936258,0.16537791910056,0.373328426719179,-0.725595659166754,0.761223321785455,0.151022346887636,-0.667400514182798,-1.80900266206674,0.354784839301678,0.415920313851529,0.960049587875401,1.01596690523344,1.05246125355805,1.12639496930314,1.22792536821761,1.28017853410534,-0.393407585127368,-0.960153410142315,1.41608680863381
"Alex Hamilton","louisiana-tech",2015,3,1067.5,-0.0679069278255344,0.0926932070371539,0.151059065417233,0.441101408894013,1.2225939283285,1.15866621921841,-1.08414894180414,0.325597365743194,-0.136877597487927,1.05108096129007,-0.736278541607204,-0.876574459161869,0.445443763829271,-0.803734875962745,0.844613159763362,-0.563069361323563,-1.28830032096446,-0.822594858942922,-0.749747946325735,0.610580308700265,-0.409007501994582,-0.446140439377212,0.473616715434696,-1.65734714647576,0.147850520166978,-0.840898226535829,0.024333656493185,0.47777875009659,-0.860696007515477,-0.452232058513124,0.324831850838029,0.270663543752174,-0.379734550682552,0.656271004817023,0.0469249750155523
"Alex Poythress","kentucky",2015,3,162.4,-0.44201923581454,-0.147426384452692,-1.05120383843916,-0.468257815432937,-0.42605744020112,-0.85706875861457,0.0920403097965865,-1.28002274098011,-0.929657635495492,-0.696207723742377,1.56467458897538,0.978008128841782,-1.26717655838899,1.16557448070344,0.787436330506704,0.574974474113594,-0.52864301887746,0.700661910100692,0.328365959738009,0.215221587475711,-0.215949751469034,-0.247041008220777,0.526782392800386,0.642761506654013,2.38274116682174,-0.870346999551981,-1.20911007123792,-0.555542507766154,-2.58206920120677,-2.01281079838854,1.40472145363054,-1.49443935349109,-0.929441176232454,-0.617696213026185,-1.09674068730683
"Alexander Barlow","butler",2015,4,1152.6,-1.93846846777056,-2.02472500882785,0.910383004694958,0.908069659224068,-1.25038312446593,-1.59970796097409,-0.857958701111693,0.249139265423037,-0.577310951936574,1.87333446012886,-0.900632336648817,0.379755681098669,-1.35892407565068,0.535196896092181,0.438999755634918,-1.98562415562001,-1.0350812202688,-1.58729033423687,-1.81643043854358,0.697017385428264,-0.759392845820432,-1.06664916728981,1.40810573682393,0.631272452442575,0.308224617496371,-0.557032514877125,-1.59190295225791,-1.20136829393037,-0.135767119263196,-0.105661987685646,1.37257671082819,0.72621007461965,-1.09617365143896,-1.16146270844707,2.11183608420225
"Amile Jefferson","duke",2015,3,830.7,-0.180140620222236,-0.714981782519599,-1.05120383843916,-1.13184427642828,-0.838220282333524,-0.397339728582487,1.22299151325882,-0.668357938418848,-1.01774430638522,-0.593426036387528,0.0854904336008625,0.379755681098669,-1.19072029400425,0.470166855981403,2.22085943997117,0.859485432972883,-0.673339647846413,0.544565243465572,0.698311416809775,0.328982833928966,-0.178900988820918,-0.258747144580551,0.77625210967016,0.918498807728511,1.5291371003911,-0.422056427452518,-0.91138227488903,-1.69650139665627,1.91303023186031,1.12594144666738,-1.45568088349811,-1.49443935349109,1.88901700186374,1.21813929444982,-1.09674068730683
