"Name","Tm","Season","EXP","MP","X2P","X2PA","X3P","X3PA","FT","FTA","TRB","AST","TOV","STL","BLK","PF","PTS","Height","Weight","Age","SOS","MOV","EWP","FG","FGA","EFG","TS","FTper","X3per","X2per","FTR","X3bias"
"A.J. Bramlett","arizona",1998,3,936,0.0580252770530509,0.11217515536402,-1.05360968415699,-1.13781008307926,-0.672597413710895,-0.243322871840178,0.589888875639825,-0.781743946324814,-1.47720512278478,-0.587964493199909,0.086609996277122,0.474671855680632,-0.934543811396801,1.14900520978984,0.415293199793786,0.230282948202913,0.578321382723785,1.55029912728711,-0.428016318820028,-0.630579706152835,-0.876492250598777,-0.224250022710467,-0.569827873847286,-1.28048789630189,-1.49230817781296,-0.058062076189842,0.360408135739584,-1.10164316845212
"A.J. Bramlett","arizona",1997,2,788,-0.0913803902480232,-0.171609907331696,-1.05360968415699,-1.11295948056781,-1.03644969234716,-0.559590660733999,0.904565186795333,-1.08199674384085,-0.7789852898793,-0.486527289912263,-0.131006395253074,1.26376450279999,-1.17866346321892,1.14900520978984,0.415293199793786,-0.451791525655168,1.17653499292164,0.653840382888842,-0.277578758468345,-0.799466056057686,-1.13525222765143,0.0538137157870441,-0.502076422999895,-1.71144189899157,-1.49230817781296,0.258489846428754,0.212059995657089,-1.10164316845212
"A.J. Bramlett","arizona",1996,1,251,-0.838408726753395,-0.913816994382029,-1.05360968415699,-1.13781008307926,-1.58222811030156,-0.665013257031939,0.185305047011314,-0.03111195253473,-2.52453487214301,-0.486527289912263,0.086609996277122,1.81005941234416,-1.97205233164079,1.14900520978984,0.415293199793786,-1.13386599951325,0.587524669034521,0.509250262824606,-0.333286372947435,-1.64389780558195,-1.88996882738832,-0.200848618975527,-1.42244082470096,-3.3528145353227,-1.49230817781296,-0.0366926844739145,1.04674895951806,-1.10164316845212
"A.J. Bramlett","arizona",1999,4,909,0.580945112606811,0.570597179718637,-1.05360968415699,-1.11295948056781,-0.21778206541556,0.354071840514817,0.949518945531834,-0.819275546014318,-0.866262768992486,-0.790838899775202,0.19541819204222,0.231874118105445,-0.339502160080394,1.14900520978984,0.415293199793786,0.912357422060994,0.562215631679996,0.0674471181838827,-0.415419052040584,-0.0394774814858534,-0.402098959335587,0.0538137157870441,-0.264722972706056,-1.24659263766337,-1.49230817781296,0.245889070595631,0.596750813614604,-1.10164316845212
"A.J. Guyton","indiana",1998,2,1088,-0.726354476277589,-0.673691172101039,1.50237658324039,1.12359474546244,-0.627115878881361,-0.87585844962782,-1.23073835318847,0.68198844156585,-0.168042936087002,-0.28365288333697,-0.729451471961111,-1.16421287295188,0.270796969474896,-1.48156764336713,-1.47357621780012,-0.513458532880694,1.11441281032417,-0.494847793177037,-0.0519133095365162,0.171630455895211,0.309490977559197,0.702537787473849,0.611871204056691,0.686910811629263,1.11526677819107,-0.416495462596448,-1.04628525472058,1.43720028761521
"A.J. Guyton","indiana",1997,1,1107,-0.801057309928126,-0.651861551893676,0.799480359706112,0.750835707790728,-0.627115878881361,-1.05156277679105,-1.20826147382022,0.982241239081884,-0.429875373426558,-0.0807784767616777,-0.457430982548367,-1.64980834810226,-0.278472247124864,-1.48156764336713,-1.47357621780012,-1.19553300673877,0.81300518364756,-0.321339649099953,0.591697366101817,-0.377250181295557,0.00760433766443978,-0.275522622110669,-0.0938506295544768,1.43639603369827,0.771307055376067,-0.768584895261347,-1.08935564413595,1.01979721093973
"A.J. Guyton","indiana",1999,3,1158,-0.651651642627052,-0.586372691271588,1.18287829981572,1.02419233541665,-1.03644969234716,-1.22726710395429,-1.27569211192497,-0.03111195253473,-0.517152852539744,-1.19658771292579,-0.566239178313465,-1.77120721688985,-0.0190951170638661,-1.48156764336713,-1.47357621780012,0.168615940977386,1.26396621287364,-0.112487253451611,-0.751607172831218,0.0449656934665722,0.309490977559197,0.228665125733879,0.0712169000191814,0.424590983905109,0.894222349449351,-0.411578133973147,-1.36058269099489,1.28667597203809
"A.J. Guyton","indiana",2000,4,995,-0.128731807073292,0.0685159149492938,1.43847692655546,1.17329595048533,-0.354226669904161,-0.629872391599292,-1.43303026750273,-0.181238351292747,-0.429875373426558,-0.587964493199909,-0.566239178313465,-2.07470438885884,0.804808707835775,-1.48156764336713,-1.47357621780012,0.850690414835467,1.00167255301765,0.427315861454871,-0.589721887921352,0.804954268038406,1.08577090871714,0.271203713855077,0.213226211961955,0.772917312522428,0.995402445536048,-0.492680375924588,-1.11506247613124,1.09152062486728
"A.J. Hammons","purdue",2014,2,775,0.468890862131005,0.505108319096549,-1.05360968415699,-1.03840767303347,0.873774770493242,0.986607418302459,1.33162589479209,-1.15705994321986,1.40295168795034,-1.19658771292579,2.91562308616966,1.1423656340124,-0.0801250300193954,1.37651421330612,2.26783820551088,0.488163160236926,0.403458942819795,-0.957536177382594,-0.240564778308035,-0.166142243914493,-0.402098959335587,-0.254837033945193,0.0496440294982352,-0.0387589921683934,-1.49230817781296,0.110962088406615,1.27230542075951,-1.10164316845212
"A.J. Hammons","purdue",2015,3,111,0.730350779907885,0.636086040340725,-1.05360968415699,-0.61594743033887,0.0551071435616404,0.529776167678051,0.522458237535073,-0.218769950982251,3.14850127021405,-1.19658771292579,3.840492750173,2.35635432188833,-0.156412421213807,1.37651421330612,2.26783820551088,1.17023763409501,-2.45876309981919,2.32144643429637,-0.932793824192483,0.129408868418999,0.0938576633486566,-0.687161313794664,-0.865041050155384,-0.931658338158065,-1.49230817781296,0.468966759036679,0.363981998199391,-1.10164316845212
