"Name","Tm","Season","MP","X2P","X2PA","X3P","X3PA","FT","FTA","DRB","ORB","AST","TOV","STL","BLK","PF","PTS","Height","Weight","Age","EWP","FG","FGA","EFG","TS","FTper","X3per","X2per","FTR","X3bias"
"Aaron Miles","Kuban",2015,224.1,-0.612482834868731,-0.217463755468406,-1.21088315133427,-1.33430176156174,-1.8916659527878,-1.97298423691877,-0.625581254208154,-0.263228170566894,2.19207115230504,-1.12884012291807,-0.0319375661813107,-0.63101059861231,-1.24616812055578,-1.98683747974712,-1.85533484548797,-1.45078296383123,0.957896013657133,-0.612593549667439,-1.47813958328609,-1.44496915623566,-1.51283242042562,-1.88743643000582,-1.26625203775226,-1.69360623120605,-1.24166098953722,-1.87385910380665,-1.26960961295695
"Achille Polonara","Reggio Emilia",2015,1182.6,-0.589911372698636,-0.719781644468957,0.519028439451535,0.599889766115452,-0.79337804913135,-0.700109800606779,1.12000296682745,0.597098682706538,-0.353564598145457,-1.92484044276896,-0.711849911023143,0.400422988271511,-1.39319365072349,-0.407812583651668,0.0662080354813099,-0.553031183700464,-0.600658005795735,-0.700345751295066,-0.36229208509814,-0.250556774618084,0.0749675633097323,-0.137005534404386,-0.602912358788458,0.492875568816831,0.256174212008,-0.65611587015299,0.733130717720311
"Adam Hanga","Avellino",2015,788.4,-0.337788895559528,-0.0724487263479389,0.0216822484709584,0.49211589635214,-0.998644409986483,-1.0217614580795,-0.426602448879182,-0.356571074830995,0.806443863686531,-0.850842013199991,1.04604273838863,0.560324386878846,-0.612513698735886,-0.602273413403564,0.0662080354813099,-0.948041966958001,-0.239182845494562,-0.584588424748872,-0.380970190832262,0.364846154612034,-1.29544213399344,-1.44898111514379,-0.276642154946406,-0.0438061917529618,-0.730976746956465,-1.21269680809908,0.249462270019401
"Adam Pechacek","Reggio Emilia",2015,124.2,0.296041454026746,-0.0638845977917533,-0.311978831217382,-0.862462287398737,-1.21859040468948,-0.81654296225064,-1.29278506092036,0.127912371860524,-1.09726987925684,-1.92731589595565,-1.59724057717849,-0.434364998115595,5.93318948206709,-0.360546054758079,0.615220287186819,0.165170240404148,-1.40782492955448,-0.872319968414741,0.149372901385398,-0.849564293394353,2.09000991965803,1.38345579738985,-2.08146766948066,2.96376258702772,1.12940511133642,-0.477265746023708,-0.244052769173306
"Ahmad Nivins","Villeurbanne",2015,961,1.79272666735566,1.5107325023576,-1.17492078775443,-1.29056404529377,0.0887988835858501,-0.137117856883724,0.56850979904887,0.753078198317942,-0.610398477718896,0.108477153485946,-1.00688188867474,-0.00021597713656274,-0.894724504103731,0.717745164631752,0.889726413039573,0.524270952456454,0.193931113595499,-0.726128083120795,1.35442030771746,0.497455205644922,0.908680305665088,0.850191848620397,0.690490590835273,-1.69360623120605,0.945628419315701,-0.427294312535363,-1.23879206457829
"Ailun Guo","LIA",2015,1420.5,0.065846153182035,-0.348377929961466,0.0546858673461624,0.0699614729847255,-0.998069722164877,-0.988683418949626,-1.3711425860074,-0.601959245557966,2.36332654024522,-1.08692131568698,0.751624445946271,-0.707499831554218,-0.630476346086069,-0.227849099905686,-1.03181646792971,-1.63033331985738,-1.15353453690691,2.54571774840855,0.111365980364664,-0.320388042472262,0.912412325798871,0.649354256920345,-0.421303072912106,0.509618225802398,1.32246554141836,-0.947628529434153,0.117701596377492
"Alain Koffi","Rouen",2015,870,0.736504977601936,1.09222890988293,-1.21088315133427,-1.33430176156174,-0.130195169368424,0.341680407348185,0.726930894940079,0.39107163065908,-0.655363912056017,-0.352785602963622,-0.330769285942193,0.63711164042761,-0.216233162070596,-0.309419930106372,0.615220287186819,0.0933500979936864,0.996176287819134,-0.881183961275266,0.0978295694662679,-0.00287329614765301,-0.552729546041578,-0.84622241708178,-1.13184367398787,-1.69360623120605,-0.379134376950055,0.318351910782146,-1.26960961295695
"Alando Tucker","Boulogne",2015,467.6,0.107386533635303,0.13204024194705,0.508646737539772,0.805763568641586,-0.0944691323194166,-0.283219576199743,-0.439117479916512,-0.244016964110712,-0.712315515127807,-0.619765685248974,-0.503343183885554,-0.435324770402064,-1.7250334264054,0.429010544055736,-0.208298090371445,-0.373480827674311,0.791650251582161,-1.01896860572855,0.445795228613181,0.873383710322961,-0.347476554247514,-0.269905571563472,0.575083463943299,0.270677105775708,0.0601796499705495,-0.706791855181565,0.309138739890698
"Albert Miralles","Joventut",2015,585,1.06520657763848,1.3748082784063,-1.21088315133427,-1.26297599628431,-0.489199798858729,0.177520962564924,0.0528951635970743,1.67656144513284,-0.692433938322693,0.220254704788451,-0.601925241761012,0.528027203318522,0.818614173127531,-0.10105294188858,0.889726413039573,0.524270952456454,1.14054760751582,-0.86538868387989,0.481838659340231,0.372715115613643,-0.450089207346567,-0.85985388115313,-1.77582311065662,-1.69360623120605,-0.193326439158723,-0.0703506988928268,-1.26960961295695
"Alberto Abalde",NA,2015,190.4,-1.55145717749648,-1.60581411307641,1.60470213232197,1.00326533576582,-2.18209186287159,-2.36625734466082,-0.754817260854948,-0.118968872790395,-0.37816569422269,-1.27403416932438,-0.868931592817719,-0.885495778496964,0.0700389500159401,-0.893483623605491,0.0662080354813099,-0.0143801156220054,-1.5696958031538,-0.570240277940162,-0.801883417066014,-0.861719003523735,1.26558040624419,0.97512127156835,NA,1.2509919240405,-0.900209462338176,-2.49806824171352,2.57180425604791
