"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Kevin Edwards","VAN",2001,634,-0.012,0.002,0.001,-0.002,0.001,0.003,-0.004,-0.006,-2.12,0.56,-0.011,-0.001,0.003,-0.01,-1.56
"Kevin Garnett","BOS",2008,2328,0.01,0.021,0.004,0.012,-0.003,0.007,0.01,0.022,2.38,6,0.031,0.016,0.004,0.031,8.39
"Kevin Garnett","BOS",2009,1772,0.005,0.018,-0.008,0.01,-0.004,0.007,-0.005,0.023,-0.3,5.42,0.023,0.002,0.002,0.018,5.12
"Kevin Garnett","BOS",2010,2060,0.005,0.015,-0.003,0.011,-0.005,0.006,-0.011,0.02,-1.01,4.75,0.02,0.008,0.001,0.01,3.74
"Kevin Garnett","BOS",2011,2220,0.006,0.005,-0.002,0.013,-0.004,0.007,-0.005,0.026,0.01,3.56,0.011,0.01,0.003,0.02,3.57
"Kevin Garnett","BOS",2012,1864,0.01,0.006,-0.004,0.017,-0.005,0.006,-0.008,0.028,0.55,3.85,0.016,0.013,0.001,0.019,4.4
"Kevin Garnett","BOS",2013,2022,0.009,0.007,-0.008,0.015,-0.007,0.005,-0.009,0.028,-0.15,3.13,0.016,0.007,-0.001,0.019,2.98
"Kevin Garnett","BRK",2014,1109,-0.002,0.002,-0.012,0.009,-0.008,0.004,-0.001,0.026,-1.89,1.74,0,-0.003,-0.004,0.025,-0.15
"Kevin Garnett","BRK, MIN",2015,952,-0.001,0,-0.008,0.004,-0.003,0.004,-0.003,0.022,-1.42,1.09,-0.001,-0.005,0.001,0.019,-0.33
"Kevin Garnett","MIN",2001,3202,0.018,0.002,0.003,0.012,-0.003,-0.001,0.011,0.018,2.71,2.23,0.02,0.014,-0.004,0.029,4.93
"Kevin Garnett","MIN",2002,3175,0.019,0.009,0.003,0.012,-0.001,0,0.014,0.016,3.78,3.06,0.028,0.014,-0.001,0.03,6.84
"Kevin Garnett","MIN",2003,3321,0.023,0.012,0.003,0.009,0.001,-0.002,0.012,0.021,4.77,3.42,0.035,0.013,-0.001,0.033,8.18
"Kevin Garnett","MIN",2004,3231,0.018,0.011,0.004,0.006,0.001,-0.001,0.01,0.016,4.3,2.98,0.029,0.011,0,0.026,7.28
"Kevin Garnett","MIN",2005,3121,0.013,0.005,0.009,0.005,-0.001,-0.002,0.013,0.024,3.36,2.26,0.018,0.014,-0.003,0.037,5.62
"Kevin Garnett","MIN",2006,2957,0.013,0.001,0.008,0.008,-0.001,0.004,0.014,0.03,3.24,3.03,0.014,0.016,0.002,0.044,6.28
"Kevin Garnett","MIN",2007,2995,0.005,0.018,0.009,0.01,-0.002,0.003,0.011,0.028,2,5.21,0.023,0.019,0.001,0.039,7.21
"Kevin Jones","CLE",2013,334,-0.008,-0.003,-0.014,0.002,-0.001,0,0.027,0.007,-0.96,-0.29,-0.011,-0.012,-0.001,0.034,-1.25
"Kevin Love","CLE",2015,2359,0.004,-0.002,0.005,0.013,-0.002,-0.008,0.007,0.017,1.57,-0.18,0.002,0.018,-0.01,0.024,1.38
"Kevin Love","MIN",2009,2048,-0.011,0.004,0.004,0.008,-0.01,-0.009,0.057,0.028,0.29,0.43,-0.007,0.012,-0.02,0.085,0.72
"Kevin Love","MIN",2010,1714,-0.004,0.003,0.005,0.003,-0.007,-0.008,0.051,0.023,1.52,0.22,-0.001,0.008,-0.014,0.074,1.74
"Kevin Love","MIN",2011,2611,0.003,0.007,0.014,0.004,-0.005,-0.009,0.049,0.029,3.66,0.99,0.01,0.018,-0.014,0.078,4.65
"Kevin Love","MIN",2012,2145,-0.004,0.007,0.013,0.004,-0.002,-0.013,0.042,0.028,2.63,0.8,0.003,0.017,-0.015,0.069,3.43
"Kevin Love","MIN",2013,618,-0.001,0,0.009,0.005,-0.001,-0.007,0.028,0.022,1.57,-0.04,-0.001,0.014,-0.008,0.05,1.53
"Kevin Love","MIN",2014,2797,0.005,-0.003,0.013,0.013,-0.001,-0.01,0.019,0.023,2.85,-0.08,0.002,0.026,-0.011,0.042,2.76
"Kevin Martin","HOU",2011,2603,0.003,-0.009,0.037,-0.003,0.006,0,-0.021,-0.014,2.28,-1.81,-0.006,0.034,0.006,-0.035,0.47
"Kevin Martin","HOU",2012,1264,0.002,-0.004,0.018,-0.004,0.008,-0.002,-0.021,-0.008,1.42,-1.39,-0.002,0.013,0.005,-0.029,0.03
"Kevin Martin","HOU, SAC",2010,1633,0.003,-0.01,0.031,-0.007,0.005,0.001,-0.016,-0.013,1.91,-2.17,-0.007,0.023,0.006,-0.029,-0.25
"Kevin Martin","MIN",2014,2177,-0.006,-0.008,0.018,-0.005,0.006,-0.004,-0.022,-0.008,0.12,-2.33,-0.014,0.013,0.002,-0.03,-2.21
"Kevin Martin","MIN",2015,1100,0,-0.012,0.013,-0.002,0.006,-0.003,-0.022,-0.008,0.24,-2.4,-0.012,0.01,0.003,-0.029,-2.16
"Kevin Martin","OKC",2013,2136,-0.003,-0.008,0.014,-0.004,0.006,0.001,-0.025,-0.009,0.34,-1.29,-0.011,0.011,0.006,-0.033,-0.95
"Kevin Martin","SAC",2005,455,-0.009,-0.001,0.004,-0.007,0.001,0.001,0.005,-0.011,-1.4,-0.45,-0.01,-0.004,0.002,-0.006,-1.84
"Kevin Martin","SAC",2006,1913,-0.006,-0.011,0.013,-0.006,0.001,0.002,-0.011,-0.01,-0.97,-1.97,-0.017,0.007,0.002,-0.021,-2.94
"Kevin Martin","SAC",2007,2818,-0.006,-0.012,0.03,-0.007,0.005,0.003,-0.012,-0.015,0.83,-2.12,-0.019,0.023,0.008,-0.027,-1.29
"Kevin Martin","SAC",2008,2216,0,-0.017,0.042,-0.01,0.005,0.002,-0.014,-0.012,2.32,-2.91,-0.016,0.032,0.006,-0.026,-0.58
"Kevin Martin","SAC",2009,1947,0.002,-0.013,0.042,-0.008,0.004,0.001,-0.016,-0.013,2.57,-2.41,-0.011,0.034,0.005,-0.029,0.15
"Kevin Murphy","UTA",2013,52,-0.011,-0.002,-0.013,-0.005,0.001,-0.001,-0.022,-0.01,-3.44,-0.87,-0.013,-0.018,0.001,-0.032,-4.31
"Kevin Ollie","CHI, IND",2002,1723,-0.02,0.003,0.013,-0.007,0.003,0.005,-0.022,-0.011,-3.33,0.43,-0.017,0.006,0.007,-0.033,-2.89
"Kevin Ollie","CLE",2004,1401,-0.015,0.006,0.011,-0.006,0.004,0.004,-0.02,-0.008,-2.55,0.88,-0.009,0.005,0.008,-0.028,-1.67
"Kevin Ollie","MIL, SEA",2003,1897,-0.016,0.003,0.008,-0.006,0.008,0.004,-0.022,-0.011,-2.22,0.42,-0.014,0.002,0.013,-0.033,-1.8
"Kevin Ollie","MIN",2009,850,-0.011,-0.003,0.01,-0.007,0.003,0.002,-0.02,-0.006,-1.81,-0.39,-0.014,0.003,0.005,-0.026,-2.2
"Kevin Ollie","NJN, PHI",2001,925,-0.015,0.003,0.004,-0.007,0.003,0.004,-0.017,-0.01,-2.87,0.48,-0.013,-0.003,0.007,-0.027,-2.39
"Kevin Ollie","OKC",2010,263,-0.01,-0.001,0,-0.007,0.004,0.001,-0.018,-0.009,-2.31,-0.29,-0.011,-0.006,0.006,-0.027,-2.6
"Kevin Ollie","PHI",2005,158,-0.011,0,-0.002,-0.007,0.004,0.001,-0.015,-0.007,-2.52,-0.1,-0.011,-0.009,0.005,-0.022,-2.63
"Kevin Ollie","PHI",2006,1069,-0.016,0,-0.002,-0.003,0.004,0.001,-0.021,-0.01,-3.13,-0.36,-0.016,-0.005,0.005,-0.031,-3.5
"Kevin Ollie","PHI",2007,919,-0.012,0.001,-0.001,-0.005,0.003,0.001,-0.022,-0.014,-2.5,-0.47,-0.011,-0.005,0.004,-0.036,-2.97
"Kevin Ollie","PHI",2008,300,-0.008,0,-0.003,-0.004,0.007,0.001,-0.018,-0.008,-1.71,-0.13,-0.008,-0.007,0.008,-0.026,-1.83
