"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Andre Miller","DEN, WAS",2014,982,-0.004,0.001,0,-0.006,0.001,0.002,-0.014,-0.006,-1.22,-0.15,-0.003,-0.006,0.003,-0.02,-1.37
"Andre Miller","LAC",2003,2913,0.001,-0.002,0.016,-0.014,0.009,0.003,-0.012,-0.018,1.54,-1.44,-0.002,0.002,0.012,-0.03,0.11
"Andre Miller","PHI",2008,3016,0.006,-0.005,0.006,-0.013,0.011,0.003,-0.01,-0.016,2.32,-1.74,0.001,-0.007,0.014,-0.026,0.59
"Andre Miller","PHI",2009,2976,0.003,-0.002,0.014,-0.013,0.011,0.004,-0.003,-0.013,2.46,-1.01,0,0.001,0.015,-0.016,1.44
"Andre Miller","POR",2010,2500,-0.002,-0.001,0.017,-0.013,0.011,0.004,-0.007,-0.015,1.67,-0.86,-0.003,0.004,0.016,-0.022,0.8
"Andre Miller","POR",2011,2650,0.004,0,0.011,-0.013,0.009,0.006,-0.008,-0.014,2,-0.46,0.004,-0.002,0.015,-0.022,1.53
"Andre Miller","SAC, WAS",2015,1074,0.002,-0.001,-0.002,-0.013,0,-0.001,-0.011,-0.009,-0.37,-1.14,0.001,-0.016,-0.001,-0.019,-1.51
"Andre Owens","IND",2008,392,-0.015,0.005,0.002,-0.015,0.006,0.002,-0.01,-0.017,-1.92,-0.56,-0.01,-0.013,0.008,-0.026,-2.48
"Andre Owens","UTA",2006,210,-0.026,0.001,-0.005,-0.018,0.003,0,0.004,-0.016,-3.75,-1.36,-0.025,-0.024,0.004,-0.011,-5.11
"Andre Roberson","OKC",2014,399,-0.012,0.006,-0.021,0.001,-0.014,0.008,0.027,0.015,-3.49,2.65,-0.006,-0.02,-0.006,0.042,-0.84
"Andre Roberson","OKC",2015,1196,-0.007,0.006,-0.006,-0.007,-0.004,0.004,-0.004,-0.005,-2.18,0.76,-0.001,-0.014,0,-0.01,-1.41
"Andrea Bargnani","NYK",2014,1257,0.003,0.001,-0.011,0.019,-0.007,-0.009,0.001,0.01,-0.94,0.23,0.004,0.008,-0.016,0.011,-0.71
