"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Jamaal Tinsley","IND",2004,1378,0.005,-0.006,-0.001,-0.008,0.005,0.007,-0.013,-0.016,0.5,-1.29,-0.003,-0.009,0.013,-0.032,-1.01
"Jamaal Tinsley","IND",2005,1301,0.002,0,0.004,-0.005,0.004,0.001,-0.018,-0.007,-0.07,-0.03,0.002,-0.002,0.005,-0.026,-0.18
"Jamaal Tinsley","IND",2006,1122,-0.001,-0.001,0.003,-0.009,0.002,0.003,-0.011,-0.007,-0.31,-0.3,-0.002,-0.006,0.005,-0.02,-0.68
"Jamaal Tinsley","IND",2007,2243,-0.005,0.006,0.003,-0.014,0.003,0.006,-0.026,-0.019,-1.81,0.15,0.001,-0.011,0.01,-0.047,-1.6
"Jamaal Tinsley","IND",2008,1293,0,0.004,-0.005,-0.009,0.001,0.009,-0.011,-0.022,-0.76,-0.05,0.003,-0.014,0.011,-0.036,-0.83
"Jamaal Tinsley","MEM",2010,589,-0.002,0.006,-0.001,0,0.005,-0.002,0.002,-0.015,0.76,0.22,0.005,-0.002,0.003,-0.015,0.87
"Jamaal Tinsley","UTA",2012,507,-0.001,-0.001,-0.001,-0.003,-0.001,-0.001,-0.004,-0.004,-0.5,-0.54,-0.001,-0.004,-0.002,-0.008,-1.05
"Jamaal Tinsley","UTA",2013,1221,-0.004,0.002,-0.005,-0.008,-0.002,-0.002,-0.002,-0.017,-1.43,-1.26,-0.001,-0.013,-0.004,-0.021,-2.68
"Jamaal Tinsley","UTA",2014,110,0,0,0,0,0,0,0,-0.002,-0.1,-0.09,0,0,-0.001,-0.002,-0.19
"Jamal Crawford","ATL",2010,2460,-0.004,-0.003,0.02,-0.013,0.013,-0.008,-0.016,-0.017,2.18,-2.49,-0.008,0.005,0.005,-0.035,-0.83
"Jamal Crawford","ATL",2011,2297,-0.011,0.011,0.019,-0.017,0.013,-0.006,-0.009,-0.023,0.94,-0.77,0.001,0,0.006,-0.035,-0.11
"Jamal Crawford","CHI",2001,1050,-0.013,-0.003,-0.003,-0.006,-0.002,-0.001,-0.02,-0.003,-3.71,-1.73,-0.015,-0.009,-0.002,-0.024,-5.21
"Jamal Crawford","CHI",2002,481,-0.003,0,-0.001,-0.002,0.001,0.001,-0.009,0,-0.86,-0.01,-0.002,-0.003,0.001,-0.01,-0.8
"Jamal Crawford","CHI",2003,1992,0.001,-0.004,-0.009,-0.003,0.015,0.002,-0.006,0.003,0.49,-0.52,-0.004,-0.011,0.017,-0.002,-0.26
"Jamal Crawford","CHI",2004,2811,0.004,-0.012,-0.002,-0.005,0.012,0.002,-0.006,0.001,0.99,-2.01,-0.01,-0.007,0.014,-0.005,-1.37
"Jamal Crawford","GSW, NYK",2009,2479,-0.001,0,0.018,-0.015,0.013,-0.009,-0.014,-0.006,2.34,-1.69,-0.001,0.001,0.003,-0.021,0.16
"Jamal Crawford","LAC",2013,2230,-0.014,0.009,0.013,-0.016,0.01,0,-0.019,-0.01,-0.78,0.27,-0.002,-0.005,0.01,-0.031,-0.56
"Jamal Crawford","LAC",2014,2094,-0.022,0.01,0.022,-0.023,0.013,-0.005,-0.031,-0.007,-1.78,0.19,-0.009,-0.003,0.008,-0.039,-1.53
"Jamal Crawford","LAC",2015,1612,-0.015,0.007,0.018,-0.017,0.016,-0.008,-0.021,-0.007,-0.53,-0.57,-0.006,-0.002,0.007,-0.028,-1.19
"Jamal Crawford","NYK",2005,2688,-0.004,-0.012,0.011,-0.012,0.01,0,-0.014,-0.016,0.18,-3.33,-0.017,-0.002,0.01,-0.032,-3.48
"Jamal Crawford","NYK",2006,2555,-0.012,-0.012,0.024,-0.017,0.002,0,-0.011,-0.023,-0.31,-3.52,-0.024,0.005,0.002,-0.038,-4.12
"Jamal Crawford","NYK",2007,2198,-0.007,-0.003,0.017,-0.017,0,-0.004,-0.009,-0.014,0.09,-1.88,-0.01,-0.001,-0.005,-0.025,-2.05
"Jamal Crawford","NYK",2008,3190,0,-0.002,0.013,-0.009,0.004,-0.006,-0.021,0,0.94,-1.15,-0.003,0.003,-0.002,-0.022,-0.52
"Jamal Crawford","POR",2012,1613,-0.01,0.008,0.013,-0.012,0.009,0,-0.014,-0.012,0.27,0.18,-0.001,0,0.009,-0.028,0.31
"Jamal Mashburn","CHH",2001,2989,-0.007,0.006,0.007,-0.004,-0.003,0.001,-0.024,0.003,-2.32,1.3,0,0.003,-0.002,-0.02,-0.86
"Jamal Mashburn","CHH",2002,1601,-0.001,0.002,0.003,-0.001,-0.002,0.001,-0.012,0.001,-0.33,0.72,0.001,0.001,-0.001,-0.011,0.33
"Jamal Mashburn","NOH",2003,3321,-0.001,0.002,0.008,-0.004,0.001,-0.003,-0.002,-0.007,0.65,-0.31,0,0.003,-0.003,-0.01,0.11
"Jamal Mashburn","NOH",2004,730,0.001,-0.001,0.003,-0.001,0.001,-0.001,0.003,0,0.62,-0.32,-0.001,0.001,-0.001,0.003,0.16
"Jamal Robinson","MIA",2001,72,-0.002,0,0,0.001,0,0.001,0,0,-0.4,0.16,-0.003,0.001,0.002,0,-0.19
"Jamal Sampson","CHA",2005,329,-0.005,0.005,-0.004,-0.003,-0.002,0,0.01,0.003,-1.02,0.78,0,-0.006,-0.002,0.013,-0.11
"Jamal Sampson","DEN",2007,125,0,-0.001,0,0,-0.002,0,-0.001,-0.002,-0.21,-0.17,-0.001,0,-0.002,-0.002,-0.37
"Jamal Sampson","LAL",2004,130,-0.003,0.002,-0.001,-0.002,-0.001,0,0.003,0.001,-0.57,0.26,0,-0.003,-0.001,0.004,-0.25
"Jamal Sampson","MIL",2003,8,0,0,0,0,0,0,0,0,-0.04,0.01,0,0,0,0,-0.03
"Jamal Sampson","SAC",2006,39,-0.001,0,0,0,0,0,0.001,0,-0.12,0.03,0,-0.001,0,0.001,-0.07
"Jamario Moon","CHA",2012,123,-0.001,0,-0.001,0,0,0,-0.003,-0.001,-0.34,-0.03,-0.001,-0.001,0,-0.004,-0.34
"Jamario Moon","CLE",2010,1052,-0.002,0.001,-0.005,0.004,0.004,0.002,-0.012,-0.004,-0.9,0.67,-0.001,-0.001,0.007,-0.017,-0.18
"Jamario Moon","CLE, LAC",2011,1042,-0.006,0.003,-0.005,-0.002,0.005,0,-0.019,-0.007,-1.93,0.49,-0.002,-0.007,0.005,-0.027,-1.29
"Jamario Moon","MIA, TOR",2009,2068,0.006,0.001,-0.009,0.011,0.008,0.005,-0.021,-0.003,0.02,1.13,0.005,0.002,0.013,-0.025,1.06
"Jamario Moon","TOR",2008,2166,0.016,-0.003,-0.012,0.017,0.007,0.005,-0.011,-0.004,1.97,0.37,0.01,0.005,0.012,-0.016,2
"Jameer Nelson","BOS, DAL, DEN",2015,1333,0.006,-0.004,0.001,0.002,0.009,-0.004,-0.008,-0.001,1.65,-1.12,0,0.002,0.004,-0.009,0.2
"Jameer Nelson","ORL",2005,1612,0.004,0.003,-0.006,-0.015,0.011,0.003,-0.005,-0.013,1.01,-0.55,0.006,-0.02,0.014,-0.02,0.21
"Jameer Nelson","ORL",2006,1784,-0.001,0.005,-0.004,-0.02,0.007,0.004,0,-0.009,-0.03,-0.1,0.003,-0.023,0.011,-0.011,-0.26
"Jameer Nelson","ORL",2007,2331,-0.005,0.008,-0.011,-0.016,0.006,0.004,-0.002,0.009,-1.43,1.55,0.004,-0.026,0.01,0.009,0.2
"Jameer Nelson","ORL",2008,1961,-0.009,0,-0.008,-0.014,0.001,0.003,-0.005,-0.007,-2.57,-0.53,-0.009,-0.021,0.004,-0.013,-2.99
"Jameer Nelson","ORL",2009,1309,0.001,0,-0.008,-0.006,-0.003,0.005,-0.012,0.006,-1.34,0.83,0.001,-0.014,0.002,-0.005,-0.42
"Jameer Nelson","ORL",2010,1860,0.003,0.008,0.004,-0.006,0.004,0.004,-0.006,-0.011,1.01,1.29,0.011,-0.002,0.008,-0.019,2.12
"Jameer Nelson","ORL",2011,2319,0.014,-0.01,0,-0.02,0.012,0.003,-0.014,-0.013,2.94,-2.64,0.001,-0.02,0.015,-0.029,-0.3
"Jameer Nelson","ORL",2012,1706,0.014,0.004,0,-0.013,0.005,-0.003,0.004,-0.004,3.57,-0.02,0.017,-0.013,0.001,0,3.04
"Jameer Nelson","ORL",2013,1977,0.016,0,0.001,-0.008,0.006,-0.005,-0.011,0.001,3.58,0,0.013,-0.007,0,-0.01,3.05
"Jameer Nelson","ORL",2014,2179,0.006,-0.001,0,-0.002,0.009,-0.003,-0.014,-0.007,1.69,-0.88,0.003,-0.003,0.005,-0.022,0.44
"Jamel Thomas","NJN",2001,56,-0.001,0.001,0.001,0,0,0,-0.002,-0.001,-0.33,0.1,-0.001,0.001,0,-0.002,-0.19
"James Anderson","HOU, SAS",2013,401,0.002,-0.003,0,-0.001,-0.001,0.001,-0.002,0.001,-0.06,-0.33,-0.002,-0.001,0,-0.001,-0.43
"James Anderson","PHI",2014,2309,0.008,-0.014,0.001,-0.011,-0.005,0.006,0.009,0.005,0.88,-1.72,-0.009,-0.01,0.001,0.014,-1.17
"James Anderson","SAS",2011,286,0.001,-0.001,-0.001,0,0,0.001,-0.005,0.001,0.04,0.01,0,-0.001,0.001,-0.005,0.03
"James Anderson","SAS",2012,603,0.005,-0.002,-0.002,-0.001,0,0.001,0,-0.001,0.89,-0.26,0.003,-0.003,0.001,-0.001,0.47
"James Augustine","ORL",2007,7,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.001,0.02
"James Augustine","ORL",2008,149,-0.001,0,0,0.001,0,0.001,0.008,0.006,0.18,0.35,-0.001,0.001,0.001,0.015,0.51
"James Ennis","MIA",2015,780,-0.006,0.005,0,-0.007,0,0.005,0.003,-0.011,-0.47,0.54,0,-0.007,0.005,-0.009,0.09
"James Harden","HOU",2013,2985,0.007,-0.009,0.031,-0.014,0.009,-0.001,0.009,-0.016,4.44,-2.33,-0.005,0.014,0.008,-0.009,1.38
"James Harden","HOU",2014,2777,0.006,-0.006,0.032,-0.016,0.011,-0.002,0.011,-0.013,5.53,-1.72,-0.003,0.012,0.009,-0.003,2.98
"James Harden","HOU",2015,2615,0.004,0.003,0.033,-0.011,0.016,-0.003,0.009,-0.013,5.78,0.26,0.007,0.018,0.013,-0.006,5.28
"James Harden","OKC",2010,1738,-0.007,0.018,0.021,-0.015,0.012,0.004,-0.001,-0.016,1.34,1.09,0.012,0.003,0.016,-0.019,2.21
"James Harden","OKC",2011,2189,-0.004,0.01,0.025,-0.014,0.011,0.005,-0.008,-0.015,1.58,0.39,0.007,0.008,0.016,-0.025,1.67
"James Harden","OKC",2012,1946,0.004,-0.007,0.039,-0.012,0.007,0.001,-0.004,-0.009,3.48,-1.87,-0.005,0.023,0.007,-0.014,1
"James Johnson","CHI",2010,757,0.002,0.003,-0.004,-0.007,-0.007,0,-0.004,-0.004,-1.14,-0.02,0.004,-0.011,-0.007,-0.009,-1.09
"James Johnson","CHI, TOR",2011,822,-0.002,0.003,0,-0.003,-0.006,0.003,-0.008,-0.002,-1.44,0.51,0.001,-0.003,-0.003,-0.011,-0.81
"James Johnson","MEM",2014,956,-0.006,0.004,-0.001,-0.002,-0.003,0.001,0.01,-0.01,-1.09,-0.02,-0.001,-0.003,-0.002,-0.001,-1.06
"James Johnson","SAC",2013,878,-0.007,0.002,0,-0.003,-0.004,0.002,0.002,-0.005,-1.91,0.06,-0.005,-0.003,-0.002,-0.004,-1.71
"James Johnson","TOR",2012,1561,-0.009,0.003,0,-0.003,-0.012,0.006,-0.006,-0.01,-3.64,0.46,-0.006,-0.003,-0.005,-0.018,-2.88
"James Johnson","TOR",2015,1233,-0.005,0.009,0.004,-0.005,0.001,0.001,0.014,-0.014,-0.19,0.89,0.005,-0.002,0.001,-0.002,0.67
"James Jones","CLE",2015,570,0.006,-0.004,0,0.003,0,-0.002,-0.006,0.005,0.88,-0.35,0,0.002,-0.002,-0.001,0.37
"James Jones","IND",2004,26,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.06
"James Jones","IND",2005,1330,0.002,-0.001,-0.002,0.007,0.007,0.002,-0.012,-0.004,0.74,0.41,0.001,0.005,0.01,-0.016,0.99
"James Jones","MIA",2009,630,0.001,0.002,0,0.001,0.002,-0.001,-0.006,-0.003,0.35,0.17,0.002,0.001,0.001,-0.01,0.44
"James Jones","MIA",2010,503,-0.001,0.002,0.002,-0.001,0.002,0.001,-0.006,-0.001,0,0.22,0.001,0,0.002,-0.008,0.19
"James Jones","MIA",2011,1549,-0.004,0.002,0.008,-0.006,0.003,0,-0.025,-0.006,-0.74,-0.28,-0.002,0.001,0.002,-0.032,-1.07
"James Jones","MIA",2012,666,-0.003,0.003,0.004,-0.003,0,0,-0.008,-0.001,-0.46,0.23,0,0,0.001,-0.01,-0.21
"James Jones","MIA",2013,221,0,0,0,0,-0.002,0,-0.003,-0.001,-0.31,-0.03,0,0,-0.002,-0.005,-0.32
"James Jones","MIA",2014,236,0.001,-0.001,0,0,-0.001,-0.001,-0.004,0,-0.17,-0.29,-0.001,-0.001,-0.002,-0.004,-0.47
"James Jones","PHO",2006,1772,-0.004,0.003,-0.006,0.007,0.008,0.004,-0.013,-0.012,-0.07,0.81,0,0.001,0.012,-0.027,0.66
